資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
人權館影音目錄,77970,國家人權博物館導入文化部影音平台之開放資料。請於領域別詮釋資料參考網址下載介接說明文件。,category_i18n;meta_column_i18n;data,國家人權博物館
人權館新聞稿,77981,國家人權博物館官網新聞稿資訊。,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國家人權博物館
人權館綜合公告,77982,國家人權博物館官網綜合公告資訊。,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國家人權博物館
人權館決算報表,78448,人權館決算相關報表,SiteId;Unitid;Subject;Downloads;FileName;Name,國家人權博物館
人權館會計相關報表,78449,人權館會計相關報表,SiteId;Unitid;Subject;Downloads;FileName;Name,國家人權博物館
人權館預算報表,78450,人權館預算報表,SiteId;Unitid;Subject;Downloads;FileName;Name,國家人權博物館
新竹美學館影音目錄,89781,新竹生活美學館導入文化部影音平台之開放資料。請於領域別詮釋資料參考網址下載介接說明文件。,category_i18n;meta_column_i18n;data,國立新竹生活美學館
臺南美學館預算報表,94222,臺南美學館預算報表,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺南生活美學館
全國電影票房統計數據,94224,本資料集為行政法人國家電影及視聽文化中心提供全國院線電影票房統計。資料截止至公告日期之前一週日，且不包括上映日數尚未滿7個日曆天之電影， 本資料集最早之CSV格式資料為2018年7月30日始，最早之JSON格式資料為2020年3月1日始。 JSON格式查詢需代入起訖日期(西元年月日)，單次最多可查詢90天內區間資料。,序號;國別地區;中文片名;上映日期;申請人;出品;上映院數;銷售票數;銷售金額;累計銷售票數;累計銷售金額;周票數變動率,文化部
臺南館決算報表,94389,臺南館決算報表,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺南生活美學館
臺南館會計報告,94390,臺南館會計報告,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺南生活美學館
文化部主管政府捐助財團法人清冊,94846,文化部主管政府捐助(贈)財團法人名單資訊。,編號;財團法人名稱;政府原始捐助贈達財產總額百分之二十以上;政府捐助贈經費累計達財產總額百分之二十以上;業務督導單位,文化部
文化部人民申請提供政府資訊案件統計,94847,本資料集為依檔案法或政府資訊公開法受理人民向文化部請求提供政府資訊（含檔案）之案件統計數據。,單位名稱;申請內容全部核准之檔案應用案件數;申請內容全部核准之其他政府資訊案件數;申請內容部分核准之檔案應用案件數;申請內容部分核准之其他政府資訊案件數;申請內容全部駁回之檔案應用案件數;申請內容全部駁回之其他政府資訊案件數,文化部
臺南美學館行政法規,94848,臺南美學館行政法規,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺南生活美學館
臺南美學館業務統計,94849,臺南美學館業務統計,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立臺南生活美學館
傳藝中心會計月報,97652,傳藝中心會計月報表,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立傳統藝術中心
傳藝中心施政計畫,97653,傳藝中心施政計畫（自2007年起）,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立傳統藝術中心
傳藝中心業務統計,97654,傳藝中心業務統計,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立傳統藝術中心
傳藝中心-出國、赴大陸計畫執行情形,98131,本中心出差執行情形,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立傳統藝術中心
傳藝中心創意傳藝教案競賽徵選計畫,98153,本中心年度創意傳藝教案競賽徵選計畫之相關資料，主題包含：京劇、歌仔戲、布袋戲、皮影戲、北管樂,Id;UnitId;TypeId;ImageName;BaseCategoryName;PublishTime;Subject;Content;FileName;Url;PageUrl;Mutilimage;Mutilattach,國立傳統藝術中心
