及所屬機關中央公有屋頂設置太陽光電管考彙整表,['77722']
及所屬機關優先採購身心障礙福利機構物品及服務執行成果,['23275']
及所屬機關全球資訊網中文版網址資訊,['13000']
及所屬機關全球資訊網中文版首長信箱網址資訊,['120714']
及所屬機關全球資訊網英文版網址資訊,['13002']
及所屬機關全球資訊網行動版網址資訊,['13001']
及所屬機關地址及電話一覽表,['14294']
及所屬機關建築物實施耐震能力評估補強方案工作執行情形,['62460']
及所屬機關政府資料開放行動方案,['27413']
及所屬機關節能減碳績效,['23286']
及所屬機關綠色採購執行率,['23259']
及所屬機關績優工友獲選人員名單,['23113']
及所屬機關績優工友表揚要點,['20945']
及所屬機關資料開放統計表,['103439']
及所屬機關辦理國家賠償事件收結情形表,['99443']
反毒報告書,"['70595', '70596']"
受保護管束人應遵守事項,['13714']
受刑人子女就學補助,['43769']
受刑人申請接返回國應備文件(中文版),['15110']
受刑人申請接返回國應備文件(英文版),['15150']
受刑人申請遣送回國應備文件(中文版),['15008']
受刑人申請遣送回國應備文件(英文版),['15029']
受理陳情請願事件登記簿,['58687']
司改半年報,['112773']
司法互助件數,['77359']
司法保護與犯罪預防委託研究案,['15558']
司法保護電子報,['23747']
司法倫理(本國篇),['21523']
司法官學院公務預算,['23505']
司法官學院圖書室圖書資訊查詢系統,['23375']
司法官學院會計月報,['23541']
司法官學院業務職掌,['22608']
司法官學院決算書,['23531']
司法官學院組織架構,['22597']
司法官學院院長簡介,['22588']
司法改革資料集,['54269']
司法節學術研討會實錄及報告資料,['24878']
各單位解降密數量統計表,['23405']
各國廢除死刑歷程,['70605']
各地司法保護中心,['13712']
各地司法保護中心一覽表,['10090']
各地性侵害防治中心地址及聯絡方式,['13718']
各地方毒品危害防制中心地址與聯絡方式,['13717']
各地方法院檢察署觀護人室地址及聯絡方式,['13715']
各地榮譽觀護人協進會地址及聯絡方式,['13723']
各地毒品危害防制中心聯絡資訊一覽表,['10091']
各官職等、性別退休人數統計,['120761']
各年度行政執行業務相關問題研究報告目錄,['28523']
各級檢察署及其檢察分署團體績效評比結果情形表,['96234']
各級檢察署團體績效評比結果情形表,['14908']
向監察院所提工作報告(歷年),['23018']
向立法院所提業務報告(歷年),['23019']
吳政務次長陳鐶出訪英、德,['15688']
員工協助方案推動計畫,['39069']
員警勾結山老鼠盜伐林木貪瀆弊案檢討專報,['14572']
單1登入窗口對外連線系統-重要應用系統簡介,['13957']
單位決算,['23082']
單位預算半年結算報告,['41030']
單位預算書(預算案),['129929']
嘉義縣公共汽車管理處票務員楊○○侵占款項案檢討報告,['14553']
國定古蹟嘉義舊監獄網站,['32870']
國家人權報告試行報告,"['14384', '14385', '14386', '14387']"
國家公園警察大隊雪霸警察隊薛姓警務員涉嫌貪瀆、侵占公物案再防貪專報,['14571']
國家安全維護工作案件偵辦統計表,"['16003', '52722', '75944']"
國家安全維護工作資料蒐集件數,"['16004', '52725', '75943']"
國家廉政建設行動方案,['95752']
國家賠償事件賠償項目及賠償金額參考基準,['13794']
國家賠償法修正草案,['23061']
國家賠償法問答,['14148']
國家賠償法實施以來各級政府機關預算編列與賠償數額對照表,['10081']
國家賠償法簡介,['13793']
國家賠償法簡介宣導摺頁,['77711']
國有公用財產管理情形實地訪查計畫,['103012']
國有財產增減結存表,['23602']
國有財產增減表,['23566']
國民參與刑事審判對我國檢察體系之挑戰及其因應之道-兼論起訴狀1本之試行,['55440']
國立故宮博物院助理研究員陳○○、研究助理葉○○承辦授權印製出版「龍藏經」等業務期間涉貪瀆弊案檢討專報,['14610']
國際公約內國法化委託研究案,['13435']
國際刑事司法互助法,['95940']
國際及兩岸法律司-主管簡介,['95936']
國際及兩岸法律司-業務職掌,['95937']
國際及兩岸法律司組織架構,['22081']
圖利罪構成要件解析,['13491']
在外國服刑之國人申請接返流程圖(中文版),['14914']
在外國服刑之國人申請接返流程圖(英文版),['14915']
在我國服刑之外國人申請遣送流程圖(中文版),['14917']
在我國服刑之外國人申請遣送流程圖(英文版),['14937']
地方檢察署保護管束案件終結件數,"['39442', '107292']"
地方檢察署偵查案件不起訴處分人數(統計),['39403']
地方檢察署偵查案件法院核准羈押人數(統計),['39405']
地方檢察署偵查案件法院駁回羈押人數(統計),['39406']
地方檢察署偵查案件終結人數(統計),['39402']
地方檢察署再議案件新收件數(統計),['39407']
地方檢察署再議案件送交上級法院檢察署檢察長後發回件數(統計),['39408']
地方檢察署及其檢察分署處務規程,['107753']
地方檢察署向法院聲請羈押人數(統計),['39404']
地方檢察署執行侵占罪案件裁判確定人數(統計),['15002']
地方檢察署執行偽證罪案件裁判確定人數(統計),['14984']
地方檢察署執行偽造文書印文罪案件裁判確定人數(統計),['14989']
地方檢察署執行偽造有價證券罪案件裁判確定人數(統計),['14988']
地方檢察署執行偽造貨幣罪案件裁判確定人數(統計),['14987']
地方檢察署執行傷害罪案件裁判確定人數(統計),['14995']
