資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
客家委員會客語百句,114417,為鼓勵初學者輕鬆學習日常生活實用客語，提供「好客100句」線上學習服務，網站上提供了詞彙學習區、電子書專區、行動APP專區、模擬測驗、學習社群等多元學習服務。,accent;kind;hakka;chinese;phonetic;other_phonetic1;other_phonetic2;url,客家委員會
客家委員會客語薪傳師性別統計,114445,本會客語薪傳師通過者性別統計概況。,year;number_of_women;percentage_of_women;number_of_men;percentage_of_men;total,客家委員會
客家委員會桐花文學獎,114446,介紹本會歷屆桐花文學得獎作品。,year;award_categories;rank;author;works_name,客家委員會
客家委員會桐花創作音樂,114447,介紹本會歷屆桐花創作音樂得獎作品。,year;music_name;author,客家委員會
客家委員會資訊課程課程表,114448,哈客網路學院提供電腦資訊線上課程(如word、excel、powerpoint..等IT類線上教材)，方便學習者進行資訊課程內容學習。,course_name;teacher; source;course_series;course_outline;course_description;subject_keyword;subject_properties;hours,客家委員會
客家委員會影書選粹課程表,114449,想要觀賞優質的客家影集，來到影書選粹準沒錯！不論是優質戲劇「源」或「牽紙鷂的手」、小朋友愛看的「奧林P客」、「客家安可」，在本主題課程中，您可以任意觀賞，不讓您錯過任何精彩節目！,course_name;teacher; source;course_series;course_outline;course_description;subject_keyword;subject_properties;hours,客家委員會
客家委員會「客家產業輔導計畫」亮點業者,114451,提供「客家產業輔導計畫」輔導之亮點業者資訊。,business_name;address;tel,客家委員會
客家委員會相關網站,114462,介紹本會暨所屬相關主題網站,no;site_name;url,客家委員會
客家委員會地方客家單位,114468,介紹全台地方客家單位網站資訊，提供多元化資訊內容給民眾使用。,unit_name;url,客家委員會
客家委員會客家文化發展中心團體導覽屬性分析統計,116351,園區團體導覽屬性分析,Year;Month;location;Group_number;People_number;General_group;General_people;Education_group;Education_people;Gov_group;Gov_people;Academic_group;Academic_people;Overseas_group;Overseas_people;hakka_group;hakka_people;Community_group;Community_people;Other_group;Other_people;New_resident_group;New_resident_people;Environment_group;Environment_people,客家委員會客家文化發展中心
客家委員會客家文化創意產業課程表,117629,當傳統客家民俗，加入創意新奇元素，可以為客家激發出哪些創意火花呢？「藍衫與花布的創新設計與應用」及「文創產業再造客庄」、「探索創新客家美食的奧秘」等課程為您揭曉絕妙好點子！,course_name;teacher;source;course_series;course_outline;course_description;subject_keyword;subject_properties;hours,客家委員會
客家委員會客庄返鄉創業誌,117701,本會輔導之客家創業青年，藉由其返鄉創業甘苦談及成果紀錄。,Industry;title;link,客家委員會
客家委員會採購標案公開上網資訊,117703,客家委員會採購標案公開上網資訊,title;website,客家委員會
客家委員會「客家美食HAKKA FOOD」榮譽標章餐廳,118066,提供本會「客家美食HAKKA FOOD」榮譽標章餐廳相關資訊。,restaurant_name;tel;address;latitude;longitude;url,客家委員會
客家委員會海外客家社團,118080,客委會自95年起收錄海外客家社團之基本資料,team_name;country_name;city_name,客家委員會
客家委員會地方政府推薦客家餐廳,118154,提供地方政府推薦之客家餐廳相關資訊。,restaurant_name;tel;address;latitude;longitude,客家委員會
客家委員會客庄輕旅行遊程索引,118161,包含7大在地遊程地圖，以及客庄景點、業者基本資訊，提供民眾參訪客庄參考。,Scenic_spots_or_Industry;address;tel;latitude;longitude,客家委員會
客家委員會客家文化發展中心數位臺灣客家庄客庄閱讀經典閱讀(電子書),118271,介紹好客食府、品客家、品客家2客庄尋味及客庄祭事屏東縣竹田鄉祭祀文化等書。,name;Explanation;master_of_ceremony;data_link,客家委員會客家文化發展中心
客家委員會兒童客家課程表,118542,透過客家特有的童玩遊戲及童詩創作等互動學習方式，讓兒童自然而然產生學習的動機。在本主題裡，有「客語童詩寫作」、「客家童玩」等課程，讓小朋友玩在客語、寫在客語、說在客語！,course_name;teacher;source;course_series;course_outline;course_description;subject_keyword;subject_properties;hours,客家委員會
客家委員會客家文化發展中心志工性別統計,118624,歷年園區志工人數及性別分析,Year;location;The_number_of_teams;Total;Total_Male;Total_female;Male_12_years_under;female_12_years_under;Male_12_17years;female_12_17years;Male_18_29years;female_18_29years;Male_30_49years;female_30_49years;Male_50_54years;female_50_54years;Male_55_64years;female_55_64years;Male_Over_65years;female_Over_65years;Indigenous_Male;Indigenous_female;Public_Personnel_employment_Male;Public_Personnel_employment_female;Public_Personnel_Retired_Male;Public_Personnel_Retired_female,客家委員會客家文化發展中心
客家委員會獎助客家研究優良博碩士論文概況,118630,介紹本會歷年獎助客家研究優良博碩士論文。,year;title;summary;author;author_sex;graduation_school;graduation_department;graduation_date;scholarship,客家委員會
客家委員會歷年發布新聞稿清冊,118632,歷年發布新聞稿清冊,date;title;url,客家委員會
客家委員會客家文化發展中心數位臺灣客家庄客庄普查,118659,介紹本會人類居住或進行各種活動的地方，在生活中每天都會製造、使用或遺留下來的物品；或過去人類各種活動所構築或產失之非移動性結構或痕跡(文化景觀、古蹟歷史建築、民俗、美食、傳統藝術、聚落、遺址),title;category;type;address;url,客家委員會客家文化發展中心
客家委員會客家文化發展中心參與客家文物聯營之地方館舍,118684,客家文物聯營館網站客家地方館舍基本資料。,unit_name;membership_unit;url;address;tel;fax;latitude;longitude,客家委員會客家文化發展中心
客家委員會客家文化重點發展區,118703,客家人口達三分之一以上之鄉(鎮、市、區)，並已現行69個鄉（鎮、市、區）為客家文化重點發展區介紹。,area_name;city_name;proportion_of_the_population;hakka_accent;major_festivals;url,客家委員會
客家委員會客家文化發展中心客家傳統建築影像典藏網客家傳統建築基本資料,118746,客家傳統建築影像典藏網客家傳統建築基本資料。,historical_name;historical_kind;admin;list_name;list_kind;list_unit;list_no;list_date,客家委員會客家文化發展中心
客家委員會補助大學校院發展客家學術機構,118754,客家委員會補助大學校院發展客家學術機構,school;plan;subsidy;year;description,客家委員會
客家委員會補助客家出版品,118755,本會歷年補助之客家出版品,book_name;type;date;Publishing_Unit,客家委員會
客家委員會客家傳統樂器介紹,118756,介紹客家演奏所使用的樂器。,music_instrument_name;music_instrument_introduction,客家委員會
客家委員會客語文學課程表,118767,客家話已是發展成熟又完整的文學語言，不僅可用來述景談情、寫人事物，也能用詩表達抽象曼妙意象。在此很榮幸邀請到何石松、吳秀媛、曾喜城等幾位老師，帶領大家一起賞析客家俚語、童謠、打油詩，透過文學的方式，領略客家文化獨特之美。,course_name;teacher; source;course_series;course_outline;course_description;subject_keyword;subject_properties;hours,客家委員會
客家委員會好客卡特約商店,118787,提供好客卡特約商店地址及相關優惠內容,company_name;address;tel;latitude;longitude,客家委員會
客家委員會客語薪傳師總覽,118844,網站公告客語薪傳師各縣市與各類別薪傳師名單與人數統計資訊。,kind;area_name;person_name,客家委員會
客家委員會客家網路影音,118853,提供民眾隨選收看歷年來典藏的各類客家影音節目。,name;author;description;length;date;url,客家委員會
客家委員會客語辭彙(已不適用),118858,客語詞彙資料庫網站，可透過腔調種類（四縣、饒平、六堆、海陸、美濃、詔安及大埔）、詞彙分類（30大類）及關鍵字，做為搜尋條件，每個詞彙有華語、英語的辭義解釋，並有造句範例說明及發音，透過線上即時播放功能。,kind;accent;hakka_risigned;hakka_phoneticon;chinese_risigned;english_ridigned;hakka_sentence;hakka_sentence_voice;chinese_translation,客家委員會
推動客語薪傳師傳習補助作業要點(要點已於107年1月1日廢止生效),118869,提供客語薪傳師傳習計畫課程開班資訊。,city_name;teaching_curriculum;url;teacher;start_date;for_locations;number_of_participants;remark,客家委員會
客家委員會客語教學課程表,118870,想認識更多的客家話，體驗語言之美嗎？想知道自己的客語程度如何嗎？參加客語能力認證考試就知道！在客語教學系列中，有「客語能力認證考試基本詞彙」、「客家話的趣味」、「客語話摩登」等課程，讓客語的趣味與奧妙透過情境動畫生動呈現！！,course_name;teacher; source;course_series;course_outline;course_description;subject_keyword;subject_properties;hours,客家委員會
客家委員會客家藝文團隊,118872,介紹客家藝文團隊概況(108年輔導藝文團隊)。,societies_name; person_in_charge;societies_nature,客家委員會
客家委員會客家音樂戲劇人才資料庫,118875,為系統蒐集、整合、保存、輔導客家音樂及戲劇相關人才名單、影像、作品等資料，透過統整、資料庫建置方式，提供客家音樂類、戲劇類學識研究及人才資訊。,name;review;expertise;awards,客家委員會
客家委員會客家文化發展中心圖書資料中心館藏,118908,客家委員會客家文化發展中心圖書資料中心館藏,Title;Author;Publisher;Publication_Date;ISBN;PrimaryCallNO,客家委員會客家文化發展中心
客家委員會預算及決算書,118924,客家委員會預算及決算書,category;year;file_name;url,客家委員會
客家委員會築夢計畫歷年錄取名單,118925,客家委員會築夢計畫歷年錄取名單,year;name;sex;project_theme;type,客家委員會
客家委員會創業輔導網絡,118928,提供創業青年創業輔導相關資訊。,company_name;address;tel;link,客家委員會
客家委員會客家文化發展中心出版品,118929,客家文化發展中心歷年出版品資料,No;Title;Publication_Date;Introduction,客家委員會客家文化發展中心
客家委員會好客小學堂故事屋,118935,以繪本及動畫方式介紹客家歷史與文化。,name;author;description;length;date;url,客家委員會
客家委員會客家文化意象暨桐花布料設計專利權及著作權授權利用單位,118936,提供客家文化意象暨桐花布料相關應用業者資訊。,industry;product;application_image;url;address;tel;latitude;longitude,客家委員會
客家委員會客家文化發展中心藝文表演團體,118944,園區邀請藝文表演團體名稱,actor;type;experience;race;area,客家委員會客家文化發展中心
客家委員會客家文化發展中心藝文活動,118947,園區辦理藝文活動名稱與時間,year;name;time;area,客家委員會客家文化發展中心
客家委員會客家文化發展中心展示,118950,園區各展館主題展示內容(含歷史展),content;time;build;area,客家委員會客家文化發展中心
客家委員會客家文化發展中心線上教學資源,118953,建立客家線上教學主題單元、開發輔助教材。以「遠距學園」概念，配合幼兒園、國小鄉土相關課綱及依兒童年齡層，設計數位學習教材。,Topic_type;Topic_name;grade;content;website;object,客家委員會客家文化發展中心
客家委員會客家文化發展中心場域租借空間,118955,客家委員會客家文化發展中心場域租借空間,year;area;land;unit;according;margin;remarks;url,客家委員會客家文化發展中心
客家委員會客家文化發展中心AED緊急救護系統位置,118957,客家委員會客家文化發展中心AED緊急救護系統位置,year;area;position;number;baby;remarks,客家委員會客家文化發展中心
客家委員會客家文化發展中心區域結盟,118958,客家文化發展中心區域結盟,year;alliance;position;url;cause;area,客家委員會客家文化發展中心
客家委員會補助海外客家事務交流合作活動,118960,歷屆申請團體數、受補助團體數之男女比例,year;group_woman_count;group_man_count;subsidy_group_woman_count;subsidy_group_man_count,客家委員會
客家委員會客家網路廣播,119137,提供民眾隨選收聽客家廣播電台與廣播節目。,radio_name;show_name;about_show;host_name;about_host;link,客家委員會
客家委員會客家文化發展中心數位臺灣客家庄客庄活動,119142,歷年利用客家文化資源辦理之網路推廣活動,activity_name;Explanation;activity_date;data_link,客家委員會客家文化發展中心
客家委員會客語辭彙,119175,客語詞彙資料庫網站，可透過腔調種類（四縣(含南四縣)、海陸、大埔、饒平(含桃園、新竹、苗栗)、詔安）、詞彙分類（18單元）及關鍵字做為搜尋條件，找出您要的客語詞彙，每個詞彙有華語的辭義解釋，並有造句範例說明及發音，另外客語認證詞彙資料庫新增「我的專區」，可將閱讀過的客語詞彙收藏於專區內進行辭彙練習，還可將自己的發音錄製上傳，聽看看自己的發音，以做為發音改善參考。,kind;accent;hakka_risigned;hakka_phoneticon;hakka_voice;chinese_risigned;hakka_sentence;hakka_sentence_voice;chinese_translation,客家委員會
客家委員會客家文化發展中心科技部民83-104年核定通過之客家議題相關計畫成果報告明細表,119184,客家議題相關計畫成果,year;host;plan;school,客家委員會客家文化發展中心
客家委員會客家文化發展中心數位臺灣客家庄客庄主題文章,119458,從客家文化資源之觀點，請客家文史工作者撰寫之主題文章。,name;category;species;url,客家委員會客家文化發展中心
客家委員會「伯公照護站」名冊,119476,「伯公照護站」名冊,city_name;No;Unit_name;Address,客家委員會
客家委員會委員,120806,客家委員會委員,session;name;gender;category,客家委員會
客家委員會客家文化發展中心圖書資料中心客家族譜書目,122075,苗栗園區圖書資料中心所收藏之客家族譜書目資料,No;book_name;author;publisher;year_of_publication;call_number;ISBN;particular;part;author_number;year;volume,客家委員會客家文化發展中心
客家委員會客家議題相關公務出國報告清單,122077,客家議題相關公務出國報告清單,project;project_sponsor;area;year,客家委員會客家文化發展中心
客家委員會電子公文交換比率,128647,客家委員會電子公文線上簽核、發文比率,date;e_doc_percentage;dispatch_percentage,客家委員會
客家委員會各年度採購案件一覽表,128648,客家委員會各年度採購案件一覽表,Serial_number;year;case_number;tender_name;awarding_method;budget_amount;subject_of_this_procurement;tender_method;value_of_this_procurement;successful_bidder;tender_award_date;government_estimate;tender_price;percentage_of_tender_price;bidder;memo,客家委員會
客家委員會公文統計資料,128649,客家委員會公文統計資料,date;received;dispatch,客家委員會
客家委員會業務說明電話與聯絡,128774,客家委員會業務說明電話與聯絡,Section;Position;Name;Line;Ext;business,客家委員會
客家委員會好客小學堂,129035,以兒童為主要對象，簡易客語對話及單字教學。,date;title;url,客家委員會
客家委員會好客小學堂冒險任務,129036,藉由寓教於樂的方式，在遊戲中學習客家文化。,date;title;url,客家委員會
客家委員會辦理人民申請提供政府資訊案件統計,129151,客家委員會暨所屬之辦理人民申請提供政府資訊案件統計,year;NumberofRecord;all_agree;partially_agree;disagree,客家委員會
