資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
嘉義縣警察局警光山莊電話、地址,27076,提供本局警光山莊電話及地址,名稱;電話;地址,嘉義縣警察局
嘉義縣警察局施政計畫,27077,提供本局年度施政計畫,檔案名稱;資源網址,嘉義縣警察局
嘉義縣高再犯危險之性侵害加害人人數統計表,27080,提供本縣高再犯危險之性侵害加害人人數統計表,檔案名稱;資源網址連接,嘉義縣警察局
嘉義縣警察局處理家庭暴力案件統計表,27081,提供本局處理家庭暴力案件統計,年度;項目;件數,嘉義縣警察局
嘉義縣警察局110受理案件統計表,27082,提供嘉義縣警察局110電話受理案件統計,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局攻勢勤務線上查獲績效表,27083,線上立即偵破刑案績效表,檔案名稱;資源網址<br>,嘉義縣警察局
嘉義縣警察局舉發違反道路交通管理事件成果統計表,27089,主要提供舉發違反道路交通管理事件成果,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局道路交通事故原因及損傷統計表,27093,主要提供統計道路交通事故傷亡原因,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局舉發違反高速公路及快速公路管制規定成果統計表,27094,主要提供統計舉發違反高速公路及快速公路制規定成果,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局查獲經濟案件統計,27095,主要提供處理經濟案件統計,檔案名稱;資源網址<br>,嘉義縣警察局
嘉義縣警察局處理違反社會秩序維護法案件統計,27096,主要提供統計處理違反社會秩序維護法案件,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局查獲侵害智慧財產權案件成果,27097,主要提供查獲侵害智慧財產權案件成果,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局取締攤販績效統計,27098,主要提供取締攤販績效數據,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局執行家戶訪查發現及處理戶口(籍)案件成果統計表,27099,主要提供執行家戶訪查發現及處理戶口(籍)案件成果統計,檔案名稱;資源網址,嘉義縣警察局
臺灣健康社區六星計畫社區治安績效季報表,27100,嘉義縣社區治安工作績效統計,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局單位預算彙整表,27102,主要提供歲入來源別預算表及歲出機關別預算表,年度;檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局警察人員獎勵統計表,27103,警察人員獎勵情形統計,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局警察人員懲處統計表,27104,警察人員懲處情形統計,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局警察人員傷亡人數統計表,27105,警察人員傷亡人數統計,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局警察人員職員退休、資遣、撫卹人數統計表,27106,警察人員職員退休、資遣、撫卹人數統計,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局警察人員違法起訴案件統計表,27107,警察人員違法起訴案件統計,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局山地治安管制統計表,27108,山地治安管制情形統計,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局義勇警察訓練及服勤成果統計表,27109,義勇警察訓練及服勤成果統計,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局歲出預算編列暨執行統計,27110,歲出預算編列暨執行情形統計,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局民防團隊編組人數統計表,27111,民防團隊編組人數統計,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局運用山地義勇警察服行山地警備治安協助勤務人數統計表,27112,運用山地義勇警察服行山地警備治安協助勤務人數,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局A1+A2類道路交通事故統計表─時間別,27114,A1+A2類道路交通事故─時間別,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局A1類道路交通事故統計表─車種別,27115,A1類道路交通事故─車種別,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局A1+A2類道路交通事故統計表─車種別,27116,A1+A2類道路交通事故─車種別,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局A1類道路交通事故統計表─道路類別及型態別,27117,A1類道路交通事故─道路類別及型態別,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局A1+A2類道路交通事故─道路類別及型態別,27118,A1+A2類道路交通事故─道路類別及型態別,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局A1+A2類道路交通事故統計表,27119,A1+A2類道路交通事故統計表,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局A1類道路交通事故統計表,27120,A1類道路交通事故統計表,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局民防團隊年度訓練成果統計表,27121,民防團隊年度訓練成果,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局民眾申請國家賠償案件統計表,27122,提供近五年民眾申請國家賠償案件統計,年份;民眾申請國賠案件數;判決結果,嘉義縣警察局
嘉義縣察局廉政會報會議紀錄,27123,提供本局廉政會報會議紀錄,年度;檔案名稱;資源網址,嘉義縣警察局
嘉義縣少年犯罪預防宣導統計表,27124,本局少年犯罪預防宣導情形統計,描述;場次;宣導地點;宣導時間;人數,嘉義縣警察局
嘉義縣少年犯罪分析,27125,提供本縣少年犯罪分析,年度;檔案名稱;資源網址,嘉義縣警察局
嘉義縣身心障礙者指紋建檔人數一覽表,27126,提供本縣身心障礙者指紋建檔人數,年度;項目;數量,嘉義縣警察局
嘉義縣警察局受理警察刑事紀錄證明案件統計表,27127,本局受理民眾申請警察紀錄證明件數統計,檔案名稱;資源網址,嘉義縣警察局
嘉義縣防治人口販運工作通報窗口一覽表,27128,防制人口販運工作相關單位聯繫管道,檔案名稱;資源網址,嘉義縣警察局
嘉義縣警察局員警常年訓練成效統計表,27130,提供本局員警學科、手槍、長槍、綜合逮捕術及跑步常年訓練成效,描述;單位;學科;手槍射擊;長槍射擊;綜合逮捕術;徒手帶架離術;跑步;備考,嘉義縣警察局
