國道服務區停車位設施數量(含座標)統計表,['46801']
國道服務區公廁數量統計表,['88629']
國道服務區公用電話數量統計表,['88628']
國道服務區哺集乳室數量統計表,['88631']
國道服務區年度每月營業額,['45759']
國道服務區手機充電座數量統計表,['88630']
國道服務區櫃位名稱一覽表,['88638']
國道服務區每日營業額,['80081']
國道服務區無障礙坡道數量統計表,['88634']
國道服務區無障礙用餐桌椅數量統計表,['88633']
國道服務區簡介一覽表,['8161']
國道服務區輪椅專用充電座數量統計表,['88636']
國道服務區電梯數量統計表,['88635']
國道服務區駕駛人休息室(含簡易休憩區)服務資訊,['45761']
國道服務區駕駛人休息室統計表,['96555']
國道汽車客運概況,['30393']
國道爬坡道里程,['31035']
國道百公尺里程樁,['95016']
國道計費門架座標及里程牌價表,['21165']
國道路網示意圖,['95070']
國道通車訊息,['82649']
國道開放路肩資訊,['31038']
國道隧道里程,['95069']
國道高速公路後續路段橋樑耐震補強工程,['95554']
國際及兩岸定期班表,['9973']
國際及兩岸定期航線班機載客率,"['35272', '47492']"
國際及兩岸定期航線班機載客率(歷月),['41617']
國際及兩岸定期航線班機載客率-按航線及航空公司分(年資料),['44751']
國際及兩岸航線不定期包機載客率,['47494']
國際及兩岸航線定期航線數(年資料),['44753']
國際商港土地使用分區用途圖表,['40461']
國際商港船舶進出港動態資料,"['99641', '117323']"
國際快捷郵件通達國家及重量、尺寸限制,['43495']
國際快捷開辦局,['83421']
國際旅展參展資訊,['93968']
國際機場協會(ACI)全球機場進出旅客、貨運噸數及起降架次前30名(年資料),['47491']
國際海運相關網站列表,['28799']
國際郵件補償報告單,['10532']
圖像-觀光多媒體資料庫,['52790']
團體戶FATCA身分類別聲明書,['11020']
地球物理觀測數值圖-全臺磁力觀測數值圖,['74964']
地球物理觀測資料,['87867']
地震目錄,['97095']
坪林車輛總量管制數據,['91667']
基隆商港海氣象資訊,['127851']
基隆港兩岸航線旅客船船期表,['7311']
基隆港區碼頭設施,['73218']
基隆港國內線旅客船船期表,['7314']
基隆港國際線旅客船船期表,['6139']
基隆港最近24小時船舶實際進/出港時間,['17017']
基隆港歷年國際郵輪船期報表,['40359']
基隆港波浪觀測月平均資料,"['97804', '114811']"
基隆港海流觀測月平均資料,"['97803', '114814']"
基隆港當日船席指泊明細表,['17174']
基隆港移錨預報,['17020']
基隆港船席現況明細表,['17173']
基隆港進出自動化門哨車輛總數,['43488']
基隆港進港預報次序,['17018']
基隆港非作業船舶最新動態表,['17021']
基隆港預定抵港郵輪最新船期表,['9343']
基隆港風觀測月平均資料,"['97666', '114810']"
壽險繼承同意書,['11021']
多孔隙瀝青混凝土(PAC)設計施工及養護技術手冊,['36646']
大宗存證信函存根聯,['45213']
大客車動態能耗與碳排放係數,['33217']
大潮監測資料,['98765']
大鵬灣觀光產業聯盟會員名冊資料,['31476']
大鵬灣遊憩區遊客人數,['31477']
天氣分析與預測圖-1週天氣預測圖(第0天),['9248']
天氣分析與預測圖-1週天氣預測圖(第1天),['9249']
天氣分析與預測圖-1週天氣預測圖(第2天),['9250']
天氣分析與預測圖-1週天氣預測圖(第3天),['9251']
天氣分析與預測圖-1週天氣預測圖(第4天),['9252']
