資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
行政院人事行政總處中央公教人員急難救助基金法定預算,76685,行政院人事行政總處中央公教人員急難救助基金法定預算,,行政院人事行政總處
本學院107年度法定預算,77054,本學院107年度法定預算,,行政院人事行政總處公務人力發展學院
本學院(原行政院人事行政總處地方行政研習中心)106年度單位決算,77055,本學院(原行政院人事行政總處地方行政研習中心)106年度單位決算,,行政院人事行政總處公務人力發展學院
行政院人事行政總處公務人力發展學院107年1月份會計月報,77744,行政院人事行政總處公務人力發展學院107年1月份會計月報,,行政院人事行政總處公務人力發展學院
行政院人事行政總處公務人力發展學院107年2月份會計月報,77985,行政院人事行政總處公務人力發展學院107年2月份會計月報,,行政院人事行政總處公務人力發展學院
中高階公務人員培訓課程參加人員性別統計表,80065,中高階公務人員培訓課程參加人員性別統計表,項目;性別;人數,行政院人事行政總處
行政院暨所屬機關學校分發考試及格人數統計表,80067,行政院暨所屬機關學校分發考試及格人數統計表,年月;考試種類;人數;性別,行政院人事行政總處
行政院人事行政總處職(教)員(合計)官等性別統計報表,80072,行政院人事行政總處職(教)員(合計)官等性別統計報表,類別及職等;是否主管;性別;人數,行政院人事行政總處
行政院所屬中央及地方主管機關簡任官等女性人數增減情形一覽表,80075,行政院所屬中央及地方主管機關簡任官等女性人數增減情形一覽表,年別;性別;簡任官人數,行政院人事行政總處
員工協助方案滿意度調查之性別統計表,80077,員工協助方案滿意度調查之性別統計表,主面向;次面向;評價種類;性別;人數;面向;題項;統計類別;統計時間;男性人數,行政院人事行政總處
行政院人事行政總處公務人力發展學院107年3月份會計月報,81332,行政院人事行政總處公務人力發展學院107年3月份會計月報,,行政院人事行政總處公務人力發展學院
行政院人事行政總處公務人力發展學院107年4月份會計月報,81334,公務人力發展學院107年4月份會計月報,,行政院人事行政總處公務人力發展學院
行政院人事行政總處公務人力發展學院107年5月份會計月報,86172,行政院人事行政總處公務人力發展學院107年5月份會計月報,,行政院人事行政總處公務人力發展學院
行政院人事行政總處辦理人民申請提供政府資訊案件統計,90147,行政院人事行政總處辦理人民申請提供政府資訊案件統計,,行政院人事行政總處
行政院人事行政總處公務人力發展學院107年6月份會計月報,91002,行政院人事行政總處公務人力發展學院107年6月份會計月報,,行政院人事行政總處公務人力發展學院
行政院人事行政總處公務人力發展學院107年7月份會計月報,91003,行政院人事行政總處公務人力發展學院107年7月份會計月報,,行政院人事行政總處公務人力發展學院
行政院人事行政總處公務人力發展學院107年8月份會計月報,91004,行政院人事行政總處公務人力發展學院107年8月份會計月報,,行政院人事行政總處公務人力發展學院
行政院人事行政總處公務人力發展學院107年9月份會計月報,96196,行政院人事行政總處公務人力發展學院107年9月份會計月報,,行政院人事行政總處公務人力發展學院
行政院人事行政總處公務人力發展學院107年10月份會計月報,96198,行政院人事行政總處公務人力發展學院107年10月份會計月報,,行政院人事行政總處公務人力發展學院
行政院人事行政總處公務人力發展學院107年11月份會計月報,97621,行政院人事行政總處公務人力發展學院107年11月份會計月報,,行政院人事行政總處公務人力發展學院
行政院人事行政總處公務人力發展學院國家政務研究班及高階領導研究班研究員性別統計表,97881,行政院人事行政總處公務人力發展學院國家政務研究班、高階領導研究班研究員性別統計表,年度;班期;男性;女性;備註,行政院人事行政總處
行政院人事行政總處公務人力發展學院107年12月份會計月報,97934,行政院人事行政總處公務人力發展學院107年12月份會計月報,,行政院人事行政總處公務人力發展學院
行政院人事行政總處公務人力發展學院108年1月份會計月報,98752,行政院人事行政總處公務人力發展學院108年1月份會計月報,,行政院人事行政總處公務人力發展學院
行政院人事行政總處公務人力發展學院108年2月份會計月報,100085,行政院人事行政總處公務人力發展學院108年2月份會計月報,,行政院人事行政總處公務人力發展學院
