1032里防災避難地圖,新北市29區1032里防災避難地圖,124713,新北市各里防災避難地圖網址清單,Area;Village;Number;Link;Caption,新北市政府消防局
暴力犯罪,暴力犯罪,124973,1.新北市暴力犯罪(含性別) 2.單位：人；人/十萬人 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19,新北市政府主計處
最近地價稅稅源統計表,新北市最近5年地價稅稅源統計表,123916,提供新北市最近5年地價稅稅源統計表,Project_year;Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28,新北市政府財政局
月子餐機構,新北市月子餐機構,127937,新北市月子餐機構清冊,No;Name;Address;Telephone;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
有機農場,新北市有機農場-鶯歌區,123306,"新北市有機農場資料,含地址、電話及經營者名稱等資料-鶯歌區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-三芝區,123373,"新北市有機農場資料,含地址、電話及經營者名稱等資料-三芝區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-石門區,123377,"新北市有機農場資料,含地址、電話及經營者名稱等資料-石門區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-北投區,123492,"新北市有機農場資料,含地址、電話及經營者名稱等資料-北投區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-瑞芳區,123672,"新北市有機農場資料,含地址、電話及經營者名稱等資料-瑞芳區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-烏來區,123685,"新北市有機農場資料,含地址、電話及經營者名稱等資料-烏來區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-永和區,123698,"新北市有機農場資料,含地址、電話及經營者名稱等資料-永和區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-泰山區,123842,"新北市有機農場資料,含地址、電話及經營者名稱等資料-泰山區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-土城區,123998,"新北市有機農場資料,含地址、電話及經營者名稱等資料-土城區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-林口區,124144,"新北市有機農場資料,含地址、電話及經營者名稱等資料-林口區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-新店區,124161,"新北市有機農場資料,含地址、電話及經營者名稱等資料-新店區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-八里區,124204,"新北市有機農場資料,含地址、電話及經營者名稱等資料-八里區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場,124322,"新北市有機農場資料,含地址、電話及經營者名稱等資料",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-汐止區,124361,"新北市有機農場資料,含地址、電話及經營者名稱等資料-汐止區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-貢寮區,124637,"新北市有機農場資料,含地址、電話及經營者名稱等資料-貢寮區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-板橋區,124669,"新北市有機農場資料,含地址、電話及經營者名稱等資料-板橋區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-樹林區,124711,"新北市有機農場資料,含地址、電話及經營者名稱等資料-樹林區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-三峽區,124923,"新北市有機農場資料,含地址、電話及經營者名稱等資料-三峽區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-坪林區,125303,"新北市有機農場資料,含地址、電話及經營者名稱等資料-坪林區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-金山區,125331,"新北市有機農場資料,含地址、電話及經營者名稱等資料-金山區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-五股區,125424,"新北市有機農場資料,含地址、電話及經營者名稱等資料-五股區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-三重區,125672,"新北市有機農場資料,含地址、電話及經營者名稱等資料-三重區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-平溪區,125717,"新北市有機農場資料,含地址、電話及經營者名稱等資料-平溪區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-新莊區,125786,"新北市有機農場資料,含地址、電話及經營者名稱等資料-新莊區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-淡水區,125792,"新北市有機農場資料,含地址、電話及經營者名稱等資料-淡水區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-中和區,125805,"新北市有機農場資料,含地址、電話及經營者名稱等資料-中和區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-雙溪區,125882,"新北市有機農場資料,含地址、電話及經營者名稱等資料-雙溪區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-萬里區,125907,"新北市有機農場資料,含地址、電話及經營者名稱等資料-萬里區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有機農場,新北市有機農場-石碇區,126839,"新北市有機農場資料,含地址、電話及經營者名稱等資料-石碇區",no;Operators;Counties;Town;Address;Phone;Produce;Farm;Date;Test,新北市政府農業局
有線廣播電視收費標準,新北市政府有線廣播電視收費標準,123053,新北市政府有線廣播電視收費標準,content,新北市政府新聞局
有線廣播電視費率審議委員會設置要點,新北市政府有線廣播電視費率審議委員會設置要點,125578,新北市政府有線廣播電視費率審議委員會設置要點。,article;content,新北市政府新聞局
有線電視名冊,新北市有線電視名冊,124731,新北市有線電視業者名冊。,name;address;tel;district,新北市政府新聞局
服務勞工地圖,新北市政府服務勞工地圖,123100,由在地角度作為出發點，以地點關聯的方式提供勞工查詢、瞭解所在地附近可接近取得的各項勞工相關服務場所(包含庇護工場、職訓機構、就服機構、勞工大學校區、就業服務站台等)。,id;type;name;addr;tel;url,新北市政府勞工局
未變性酒精販賣業者登記資料一覽表,新北市未變性酒精販賣業者登記資料一覽表,124210,新北市未變性酒精販賣業者登記資料一覽表,field_1;field_2;field_3;field_4;field_5,新北市政府財政局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-土城區,123299,本市付費廣告欄設置地點-土城區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-淡水區,123406,本市付費廣告欄設置地點-淡水區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表,123528,本市付費廣告欄設置地點,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-五股區,123689,本市付費廣告欄設置地點-五股區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-新店區,123764,本市付費廣告欄設置地點-新店區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-鶯歌區,123818,本市付費廣告欄設置地點-鶯歌區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-三芝區,123841,本市付費廣告欄設置地點-三芝區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-中和區,123937,本市付費廣告欄設置地點-中和區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-三重區,123956,本市付費廣告欄設置地點-三重區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-林口區,124096,本市付費廣告欄設置地點-林口區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-新莊區,124111,本市付費廣告欄設置地點-新莊區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-金山區,124286,本市付費廣告欄設置地點-金山區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-三峽區,124383,本市付費廣告欄設置地點-三峽區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-泰山區,124398,本市付費廣告欄設置地點-泰山區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-雙溪區,124430,本市付費廣告欄設置地點-雙溪區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-樹林區,124492,本市付費廣告欄設置地點-樹林區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-汐止區,124933,本市付費廣告欄設置地點-汐止區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-永和區,125094,本市付費廣告欄設置地點-永和區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-深坑區,125174,本市付費廣告欄設置地點-深坑區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-板橋區,125572,本市付費廣告欄設置地點-板橋區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-石碇區,125858,本市付費廣告欄設置地點-石碇區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-八里區,125918,本市付費廣告欄設置地點-八里區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-蘆洲區,125927,本市付費廣告欄設置地點-蘆洲區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
本市付費廣告欄設置地點一覽表,本市付費廣告欄設置地點一覽表-貢寮區,126021,本市付費廣告欄設置地點-貢寮區,area;address;Quantity;Remark;Contact_person;tel,新北市政府環境保護局
板橋地政事務所新舊地號對照表,板橋地政事務所新舊地號對照表,123801,本資料集為本市板橋地政事務所轄區之土地新舊地號對照表(資料更新截至108年12月31日),District_New;SectionNumber_New;Section_New;Num_New;District_Old;SectionNumber_Old;Section_Old;Num_Old,新北市政府地政局
板橋地政事務所新舊建號對照表,板橋地政事務所新舊建號對照表-板橋區,123944,本資料集為本市板橋地政事務所轄區之土地新舊建號對照表(資料更新截至108年12月31日)-板橋區,District_New;SectionNumber_New;Section_New;Num_New;District_Old;SectionNumber_Old;Section_Old;Num_Old,新北市政府地政局
板橋地政事務所新舊建號對照表,板橋地政事務所新舊建號對照表,124109,本資料集為本市板橋地政事務所轄區之土地新舊建號對照表(資料更新截至108年12月31日),District_New;SectionNumber_New;Section_New;Num_New;District_Old;SectionNumber_Old;Section_Old;Num_Old,新北市政府地政局
板橋地政事務所新舊建號對照表,板橋地政事務所新舊建號對照表-土城區,124531,本資料集為本市板橋地政事務所轄區之土地新舊建號對照表(資料更新截至108年12月31日)-土城區,District_New;SectionNumber_New;Section_New;Num_New;District_Old;SectionNumber_Old;Section_Old;Num_Old,新北市政府地政局
林口區內滯洪設施位置及用地面積,林口區內滯洪設施位置及用地面積,124227,滯洪池：位於河溪湖泊內、或鄰接處、或支流上開挖出的區域，將地表逕流暫時儲存以收調節洪水功效，降低因為暴雨尖峰流量對下游低勢地區所帶來的傷害。 提供之基本資訊(如：都市計畫用地編號、總集水面積(km2)、地籍面積(m2)、滯洪池使用面積(m2)、現地使用情形) 新增加欄位：公園 / 停車場名稱及位置,Park_or_parking_lot_Name;land_code;catchment_area;cadastral_area;detention_basin_area;situation;Location,新北市政府水利局
查獲毒品案件,查獲毒品案件,123459,1.新北市查獲毒品案件(含性別) 2.單位：人；人/十萬人 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13,新北市政府主計處
查獲涉嫌違反菸酒管理法案件月報表,新北市政府查獲涉嫌違反菸酒管理法案件月報表(107-109年),123683,新北市政府查獲涉嫌違反菸酒管理法案件月報表(107-109年),field_1;field_2;field_3;field_4;field_5;field_6;field_7,新北市政府財政局
核子醫學科醫療機構,新北市核子醫學科醫療機構,124987,新北市核子醫學科醫療機構清單,Name;No;District;Address;Telephone;Division;Remark;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府衛生局
核安事故疏散規劃表,新北市核安事故疏散規劃表,125751,當有事故狀況發生，需要疏散時，為了讓民眾迅速地疏散到安全地點，在核能發電廠附近，政府特地委託各專家學者，根據天候狀況、人口分佈及道路狀況等因素，規劃出緊急疏散路線，其中包含住家附近的集結點及收容站位置，需要疏散時，能夠在最短的時間內，安全疏散所有民眾。,accident;district;village;rendezvous_point;protection_center;protection_evacuation_route;reception_center;reception__evacuation_route,新北市政府消防局
核安第23號演習重要工作管制表,核安第23號演習重要工作管制表,126120,核安第23號演習重要工作管制表,no;work;organizer;date;note,新北市政府消防局
核發建築物使用執照-使用分區別,新北市政府核發建築物使用執照-使用分區別,123612,新北市政府核發建築物使用執照-使用分區別,field1;field2;field3;field4;field5;field6;field7;field8;field9;field10;field11;field12;field13;field14;field15;field16;field17;field18;field19;field20;field21;field22;field23;field24;field25;field26;field27;field28;field29;field30;field31;field32;field33;field34,新北市政府工務局
樂活名攤,新北市樂活名攤,126138,有菜市場金馬獎之稱，由經濟部主辦「優良市集暨樂活名攤星級評核」新北市計有21座市場及203個攤位分別獲得優良市集及樂活名攤評核認證，總數436顆星為全國第一，不僅為全國最多，更刷新自我紀錄，未來這些優良典範將持續推廣至全市傳統市場。,Number;District;MarketName;StallName;Star;year,新北市政府經濟發展局
標準化死亡率—主要死因,標準化死亡率—主要死因,125332,1.新北市標準化死亡率—主要死因(含性別) 2.單位：人/十萬人 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19,新北市政府主計處
標準化死亡率—主要癌症,標準化死亡率—主要癌症,124538,1.新北市標準化死亡率—主要癌症(含性別) 2.單位：人/十萬人 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16,新北市政府主計處
樹林地政事務所新舊地號對照表,樹林地政事務所新舊地號對照表,124792,本資料集為本市樹林地政事務所轄區之土地新舊地號對照表(資料更新截至108年12月31日),District_New;SectionNumber_New;Section_New;Num_New;District_Old;SectionNumber_Old;Section_Old;Num_Old,新北市政府地政局
樹林地政事務所新舊建號對照表,樹林地政事務所新舊建號對照表,125757,本資料集為本市樹林地政事務所轄區之土地新舊建號對照表(資料更新截至108年12月31日),District_New;SectionNumber_New;Section_New;Num_New;District_Old;SectionNumber_Old;Section_Old;Num_Old,新北市政府地政局
樹林灰渣掩埋場滲出水處理廠水質檢測報告-原水,新北市樹林灰渣掩埋場滲出水處理廠水質檢測報告-原水,125772,樹林灰渣掩埋場滲出水(原水)含有重金屬濃度檢測報告，濃度單位皆為mg/L。,field1;field2;field3;field4;field5;field6;field7,新北市政府環境保護局
樹林灰渣掩埋場滲出水處理廠水質檢測報告-地下水監測井,新北市樹林灰渣掩埋場滲出水處理廠水質檢測報告-地下水監測井,124963,樹林灰渣掩埋場地下水監測井水質檢測報告，濃度單位皆為mg/L。,field1;field2;field3;field4;field5;field6;field7;field8;field9;field10,新北市政府環境保護局
機車停車彎資訊,新北市機車停車彎資訊,125781,新北市轄區機車停車彎資訊,ITEM;AREA;ADDRESS;MOTORCYCLE PARKING BAY LENGTH;PARKING LOTS,新北市政府交通局
機車定檢站名單,新北市機車定檢站名單,124041,新北市機車定檢站名單(站號、站名、電話、地址),no;title;tel;address,新北市政府環境保護局
橫移門資訊,新北市橫移門資訊-新店區,123312,在不影響防洪安全狀況下興建橫移門，平時堤防外高灘地可供民眾休閒之場所或開放車輛停放，當有颱風來臨時或者水庫洩洪造成河川水位上升時，將提早宣布關閉橫移門作業，避免河水淹入市區。-新店區,numbering;name;latitude;longitude;district;water_pumping_station;intersection;Car_and_Motorcycle_pass_available,新北市政府水利局
橫移門資訊,新北市橫移門資訊-土城區,123403,在不影響防洪安全狀況下興建橫移門，平時堤防外高灘地可供民眾休閒之場所或開放車輛停放，當有颱風來臨時或者水庫洩洪造成河川水位上升時，將提早宣布關閉橫移門作業，避免河水淹入市區。-土城區,numbering;name;latitude;longitude;district;water_pumping_station;intersection;Car_and_Motorcycle_pass_available,新北市政府水利局
橫移門資訊,新北市橫移門資訊-新莊區,124121,在不影響防洪安全狀況下興建橫移門，平時堤防外高灘地可供民眾休閒之場所或開放車輛停放，當有颱風來臨時或者水庫洩洪造成河川水位上升時，將提早宣布關閉橫移門作業，避免河水淹入市區。-新莊區,numbering;name;latitude;longitude;district;water_pumping_station;intersection;Car_and_Motorcycle_pass_available,新北市政府水利局
橫移門資訊,新北市橫移門資訊-永和區,124285,在不影響防洪安全狀況下興建橫移門，平時堤防外高灘地可供民眾休閒之場所或開放車輛停放，當有颱風來臨時或者水庫洩洪造成河川水位上升時，將提早宣布關閉橫移門作業，避免河水淹入市區。-永和區,numbering;name;latitude;longitude;district;water_pumping_station;intersection;Car_and_Motorcycle_pass_available,新北市政府水利局
橫移門資訊,新北市橫移門資訊,124551,在不影響防洪安全狀況下興建橫移門，平時堤防外高灘地可供民眾休閒之場所或開放車輛停放，當有颱風來臨時或者水庫洩洪造成河川水位上升時，將提早宣布關閉橫移門作業，避免河水淹入市區。,numbering;name;latitude;longitude;district;water_pumping_station;intersection;Car_and_Motorcycle_pass_available,新北市政府水利局
橫移門資訊,新北市橫移門資訊-板橋區,125401,在不影響防洪安全狀況下興建橫移門，平時堤防外高灘地可供民眾休閒之場所或開放車輛停放，當有颱風來臨時或者水庫洩洪造成河川水位上升時，將提早宣布關閉橫移門作業，避免河水淹入市區。-板橋區,numbering;name;latitude;longitude;district;water_pumping_station;intersection;Car_and_Motorcycle_pass_available,新北市政府水利局
檔案閱覽抄錄複製收費標準,新北市政府檔案閱覽抄錄複製收費標準,125552,為落實資訊公開，提供優質檔案應用服務，並兼顧檔案安全之維護。</br> 102年10月31日修正說明檔案,Service_Type;File_Outward;Duplication_Way;Duplication_Form;Rate_Scale;收費標準;Note,新北市政府秘書處
正在辦理中公辦市地重劃地區統計表,新北市正在辦理中公辦市地重劃地區統計表,124385,新北市正在辦理中公辦市地重劃地區統計表,field1;field2;field3;field4;field5;field6;field7;field8;field9;field10;field11,新北市政府地政局
正在辦理中自辦市地重劃地區統計表,新北市正在辦理中自辦市地重劃地區統計表,125557,新北市正在辦理中自辦市地重劃地區統計表,field1;field2;field3;field4;field5;field6;field7;field8;field9;field10,新北市政府地政局
歲入實收數比較表,新北市政府107及106年度歲入實收數比較表,124061,新北市政府107及106年度歲入實收數比較表,field_1;field_2;field_3;field_4;field_5,新北市政府財政局
歲入實收數比較表,新北市政府104及103年度歲入實收數比較表,125292,新北市政府104及103年度歲入實收數比較表,field_1;field_2;field_3;field_4;field_5,新北市政府財政局
歲入實收數比較表,新北市政府109及108年度歲入實收數比較表,125415,新北市政府109及108年度歲入實收數比較表,field_1;field_2;field_3;field_4;field_5,新北市政府財政局
歲入實收數比較表,新北市政府108及107年度歲入實收數比較表,125473,新北市政府108及107年度歲入實收數比較表,field_1;field_2;field_3;field_4;field_5,新北市政府財政局
歲入實收數比較表,新北市政府103及102年度歲入實收數比較表,125482,新北市政府103及102年度歲入實收數比較表,field_1;field_2;field_3;field_4;field_5,新北市政府財政局
歲入實收數比較表,新北市政府106及105年度歲入實收數比較表,125669,新北市政府106及105年度歲入實收數比較表,field_1;field_2;field_3;field_4;field_5,新北市政府財政局
歲入實收數比較表,新北市政府105及104年度歲入實收數比較表,126055,新北市政府105及104年度歲入實收數比較表,field_1;field_2;field_3;field_4;field_5,新北市政府財政局
歷年住宅補貼受理情形統計表,新北市歷年住宅補貼受理情形統計表,122939,新北市歷年申請住宅補貼情形,year;rent_project_num;rent_apply_num;rent_ok_NUM;purchase_project_num;purchase_apply_num;purchase_ok_num;Repair_project_num;Repair_apply_num;Repair_ok_num,新北市政府城鄉發展局
歷年家暴案量統計,新北市歷年家暴案量統計,123354,此為104~108年歷年家暴案量統計，說明資料為104~108年的統計圖表。,Year;Type;Total;Male;M-ratio;Female;F-ratio,新北市政府社會局
歷年性侵害案量統計,新北市歷年性侵害案量統計,125358,此為104~108年歷年性侵害案量統計，說明資料為104~108年的統計圖表。,Year;Age;Total;Ratio;Male;M-ratio;Female;F-ratio,新北市政府社會局
歷年重大災害一覽表,新北市歷年重大災害一覽表,124316,新北市歷年重大災害發生時間、地點及災情程度,disaster;occurrence_time;occurrence_place;degree_of_disaster,新北市政府消防局
歷年重大職災統計,歷年重大職災統計,127869,提供歷年重大職災統計相關資料(目前為101年~109年4月),no;date;type;disaster;location;category,新北市政府勞工局
死亡人數-主要癌症,死亡人數－主要癌症,125587,1.新北市死亡人數－主要癌症(含性別) 2.單位：人 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19;Field20,新北市政府主計處
死亡人數-各年齡別,死亡人數-各年齡別,125782,1.新北市死亡人數-各年齡別(含性別) 2.單位：人；歲 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19;Field20;Field21,新北市政府主計處
死亡人數—主要死因,死亡人數—主要死因,123975,1.新北市死亡人數—主要死因(含性別) 2.單位：人 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19;Field20;Field21;Field22;Field23;Field24;Field25,新北市政府主計處
死亡率—主要死因,死亡率—主要死因,124070,1.新北市死亡率—主要死因(含性別) 2.單位：人/十萬人 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19,新北市政府主計處
死亡率—主要癌症,死亡率—主要癌症,125865,1.新北市死亡率—主要癌症(含性別) 2.單位：人/十萬人 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18,新北市政府主計處
死亡率—各年齡別,死亡率—各年齡別,124861,1.新北市死亡率—各年齡別(含性別) 2.單位：人/十萬人 3.各項欄位說明詳參新北市性別圖像電子檔(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=MTI5)或電洽主計處查詢。 4.因本項資料來源更新週期有2年時間差異，爰本項資料更新年度亦同。,Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17,新北市政府主計處
母嬰親善醫療院所認證名單,新北市母嬰親善醫療院所認證名單,123291,新北市105年母嬰親善醫療院所認證名單,name;address;telephone,新北市政府衛生局
每年A1交通事故原因及死傷人數,每年新北市A1交通事故原因及死傷人數,125187,一、統計範圍及對象：凡於新北市區內道路上發生之交通事故，為統計範圍及對象。(一)必須因汽機車或動力機械行駛而引起之事故。 (二)必須發生於道路上之事故。 (三)必須為有人亡。（即符合道路交通事故調查報告A1類應報署條件者） 二、統計標準時間：以每月1日至月底所發生之事實為準。 三、分類標準：按肇事原因、死傷人數分類。 四、統計科目定義： (一)道路交通事故：依「道路交通事故處理辦法」第2條規定，係指因汽機車或動力機械在道路上行駛，致有人死亡、受傷或車輛、財物損失之事故。 (二)道路：指公道、街道、巷弄、廣場、騎樓、走廊、或其他供公眾通行之地方。 (三)肇事原因之數據，以第一當事者為統計標準。 (四)發生件數：按A1類之定義計算發生件數。即A1類之死亡案件。 (五)死亡人數：A1類之死亡人數。 (六)受傷人數：按A1類死亡發生案件歸類後，計算受傷人數。 五、資料蒐集方法及編製程序：由本局交通分隊將當月填寫之道路交通事故調查報告表，報送本局交通大隊彙編。並根據該調查報告表按分局別將當月資料彙編本表。,year;organ;field1;field2;field3;field4;field5;field6;field7,新北市政府警察局
