1032里防災避難地圖,新北市29區1032里防災避難地圖,124713,新北市各里防災避難地圖網址清單,Area;Village;Number;Link;Caption,新北市政府消防局
A2道路交通事故-第1當事者飲酒情形,新北市103年A2道路交通事故-第一當事者飲酒情形,123864,新北市103年A2道路交通事故-第一當事者飲酒情形,breau;alcohol;year;count;dead;hurt,新北市政府警察局
A2道路交通事故-第1當事者飲酒情形,新北市104年A2道路交通事故-第一當事者飲酒情形,125086,新北市104年A2道路交通事故-第一當事者飲酒情形,breau;alcohol;year;count;dead;hurt,新北市政府警察局
A2道路交通事故-第1當事者飲酒情形,新北市102年A2道路交通事故-第一當事者飲酒情形,125162,新北市102年A2道路交通事故-第一當事者飲酒情形,breau;alcohol;year;count;dead;hurt,新北市政府警察局
A2道路交通事故-第1當事者飲酒情形,新北市105年A2道路交通事故-第一當事者飲酒情形,125334,新北市105年A2道路交通事故-第一當事者飲酒情形,breau;alcohol;year;count;dead;hurt,新北市政府警察局
A2道路交通事故-駕駛人年齡分布統計,新北市103年A2道路交通事故-駕駛人年齡分布統計,123770,新北市103年A2道路交通事故-駕駛人年齡分布統計,age;year;p_count,新北市政府警察局
A2道路交通事故-駕駛人年齡分布統計,新北市105年A2道路交通事故-駕駛人年齡分布統計,123814,新北市105年A2道路交通事故-駕駛人年齡分布統計,age;year;p_count,新北市政府警察局
A2道路交通事故-駕駛人年齡分布統計,新北市102年A2道路交通事故-駕駛人年齡分布統計,124935,新北市102年A2道路交通事故-駕駛人年齡分布統計,age;year;p_count,新北市政府警察局
A2道路交通事故-駕駛人年齡分布統計,新北市104年A2道路交通事故-駕駛人年齡分布統計,125525,新北市104年A2道路交通事故-駕駛人年齡分布統計,age;year;p_count,新北市政府警察局
A2類交通事故資料,104年度A2類交通事故資料,124868,104年度A2類交通事故資料,date;location;field1;field2,新北市政府警察局
A2類交通事故資料,102年度A2類交通事故資料,125467,102年度A2類交通事故資料,date;location;field1;field2,新北市政府警察局
A2類交通事故資料,103年度A2類交通事故資料,125582,103年度A2類交通事故資料,date;location;field1;field2,新北市政府警察局
NewTaipei熱點,新北市NewTaipei熱點-土城區,123358,新北市政府無線網路(NewTaipei)熱點資訊。-土城區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-板橋區,123397,新北市政府無線網路(NewTaipei)熱點資訊。-板橋區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-汐止區,123404,新北市政府無線網路(NewTaipei)熱點資訊。-汐止區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-深坑區,123555,新北市政府無線網路(NewTaipei)熱點資訊。-深坑區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-三峽區,123580,新北市政府無線網路(NewTaipei)熱點資訊。-三峽區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-萬里區,123584,新北市政府無線網路(NewTaipei)熱點資訊。-萬里區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-林口區,123726,新北市政府無線網路(NewTaipei)熱點資訊。-林口區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-平溪區,123791,新北市政府無線網路(NewTaipei)熱點資訊。-平溪區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-金山區,123861,新北市政府無線網路(NewTaipei)熱點資訊。-金山區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-鶯歌區,123994,新北市政府無線網路(NewTaipei)熱點資訊。-鶯歌區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-烏來區,124076,新北市政府無線網路(NewTaipei)熱點資訊。-烏來區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-石門區,124116,新北市政府無線網路(NewTaipei)熱點資訊。-石門區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-淡水區,124149,新北市政府無線網路(NewTaipei)熱點資訊。-淡水區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點,124287,新北市政府無線網路(NewTaipei)熱點資訊。,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-雙溪區,124446,新北市政府無線網路(NewTaipei)熱點資訊。-雙溪區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-新莊區,124547,新北市政府無線網路(NewTaipei)熱點資訊。-新莊區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-新店區,124651,新北市政府無線網路(NewTaipei)熱點資訊。-新店區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-三重區,124676,新北市政府無線網路(NewTaipei)熱點資訊。-三重區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-三芝區,124895,新北市政府無線網路(NewTaipei)熱點資訊。-三芝區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-永和區,124910,新北市政府無線網路(NewTaipei)熱點資訊。-永和區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-蘆洲區,125049,新北市政府無線網路(NewTaipei)熱點資訊。-蘆洲區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-八里區,125130,新北市政府無線網路(NewTaipei)熱點資訊。-八里區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-泰山區,125201,新北市政府無線網路(NewTaipei)熱點資訊。-泰山區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-瑞芳區,125283,新北市政府無線網路(NewTaipei)熱點資訊。-瑞芳區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-中和區,125346,新北市政府無線網路(NewTaipei)熱點資訊。-中和區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
NewTaipei熱點,新北市NewTaipei熱點-五股區,125618,新北市政府無線網路(NewTaipei)熱點資訊。-五股區,id;spot_name;type;company;district;address;apparatus_name;latitude;longitude;twd97X;twd97Y;wgs84aX;wgs84aY,新北市政府研究發展考核委員會
