公益彩券發行及管理制度變革之研究,['11499']
公益彩券發行機構甄選作業之探討,['12016']
公益彩券盈餘分配及銷售量簡表,['6038']
公益彩券盈餘分配辦理社會福利事業情形彙總表,['12190']
公益彩券盈餘管理運用及資訊公開考核情形表,['31108']
公益彩券盈餘運用監督機制及績效評估之檢討與改進,['11492']
公益彩券開獎號碼及各獎項彩金相關資料,['72921']
公股事業概況,['25312']
公股事業機構董監事名單,['12228']
公股銀行承作放款業務及逾期情形,['31190']
公股銀行辦理創業貸款餘額,['31191']
公股銀行辦理青年安心成家貸款,['31189']
出口值,['8380']
出口報單通關流程處理事件代碼,['38731']
出口胚布統計,['80885']
出境旅客人數,['38750']
出版品一覽表,['46830']
加工出口區名冊,['8274']
加強國有不動產活化運用計畫,['24121']
加強國有公用不動產之有效管理,['11771']
加速公營事業民營化對財政影響之研究,['11785']
北區國稅局人民陳情案件檢討分析報告,['28925']
北區國稅局人民陳情案件處理程序及管制作業要點,['28938']
北區國稅局使用B2C電子發票營業人清冊,['25432']
北區國稅局使用電子發票績優營業人名冊,['25431']
北區國稅局保有個人資料檔案公開項目彙整表,['28927']
北區國稅局全功能櫃檯作業處理件數統計表,['33230']
北區國稅局公司及獨資合夥工商家數統計表,['118419']
北區國稅局及所屬會計報表,"['19059', '76690', '99030', '119549']"
北區國稅局各分局、稽徵所及服務處電子發票服務窗口一覽表,['28940']
北區國稅局單位決算書,['12633']
北區國稅局國稅統計年報,['12639']
北區國稅局執行業務暨其他所得者申報家數統計表,['122780']
北區國稅局外僑綜合所得稅結算申報案件統計表,['25577']
北區國稅局局長、分局長及稽徵所主任與民有約實施要點,['28928']
北區國稅局復查案件處理情形統計表,['33232']
北區國稅局復查決定書案例,['28929']
北區國稅局所轄期貨商家數統計表,['28931']
北區國稅局所轄證券商家數統計表,['28930']
北區國稅局扣免繳(外僑人工建檔部分)統計表,['46026']
北區國稅局扣免繳申報收件統計表,"['32779', '33623']"
北區國稅局提升服務執行計畫,['28924']
北區國稅局政風室受理公職人員財產申報人數及抽籤比例統計表,['94130']
北區國稅局施政計畫,['28932']
北區國稅局暨所屬各分局、稽徵所聯絡方式及服務時間,['38110']
北區國稅局最近國家賠償事件處理情形統計表,['12741']
北區國稅局業務績效與獲獎榮譽,['37653']
北區國稅局業務職掌,['37646']
北區國稅局機關沿革,['37650']
北區國稅局歷年支付或接受之補助,['30472']
北區國稅局法定預算,['76935']
北區國稅局為民服務意見調查報告書,['28933']
北區國稅局為民服務手冊及白皮書,['28934']
北區國稅局營所稅受理災害損失報備情形統計表,['118418']
北區國稅局營業稅申報家數統計表,['33233']
北區國稅局稅籍登記申請收件統計表,['28935']
北區國稅局納稅義務人申訴中心及申訴熱線電話設置暨管制作業要點,['28937']
北區國稅局組織架構,['37645']
北區國稅局綜合所得稅結算申報人工申報案件件數比較表,['122474']
北區國稅局綜合所得稅結算申報人工申報案件統計表,['31760']
北區國稅局線上申辦統計表,['37384']
北區國稅局菸酒稅廠商家數統計表,['33235']
北區國稅局記帳及報稅代理業務人名冊,['25461']
北區國稅局記帳士名冊,['25453']
北區國稅局訴願以上處理情形統計表,['33229']
北區國稅局貨物稅申報家數及稅額級距統計表,['28939']
北區國稅局贈與稅收件統計表,['25583']
北區國稅局贈與稅核定徵免件數統計表,['35479']
北區國稅局轄內記帳及報稅代理業務人名冊訓練單位名稱,['25462']
北區國稅局轄區內人口數、工商家數及各項申報統計,['30271']
北區國稅局違章漏稅案件處理情形表,['25485']
北區國稅局遺產稅收件統計表,['25580']
北區國稅局遺產稅核定徵免件數統計表,['33236']
北區國稅局電子公文統計彙總表,['37643']
北區國稅局預算案,['12729']
北區國稅局預約免下車服務相關資訊,['28941']
北區國稅局首長簡介,['37644']
南區國稅局使用B2C電子發票營業人清冊,['25467']
南區國稅局使用電子發票績優營業人名冊,['25466']
南區國稅局保有個人資料檔案公開項目彙整表,['29020']
南區國稅局全功能櫃台作業處理件數統計表,['32756']
南區國稅局公司及獨資合夥工商家數統計表,['118383']
南區國稅局公文電子交換統計表,['32311']
南區國稅局及所屬單位決算,['12735']
南區國稅局及所屬會計報表,['19817']
南區國稅局各分局、稽徵所電子發票服務窗口一覽表,['29001']
南區國稅局各項國稅多元繳稅方式統計表,['38893']
南區國稅局呼速得預約免下車服務申請項目及應備文件一覽表,['29002']
南區國稅局員額與素質相關統計資訊,['29004']
南區國稅局國稅統計年報,['12738']
南區國稅局執行業務暨其他所得者申報家數統計表,['118386']
南區國稅局外僑綜合所得稅結算申報案件收件統計表,['25443']
南區國稅局平面媒體、網路媒體、廣播媒體及電視媒體辦理政策宣導相關廣告費用統計表,['57715']
南區國稅局復查案件處理情形統計表,['32910']
南區國稅局復查決定書案例,['29003']
南區國稅局扣免繳(外僑人工建檔部分)統計表,['46027']
南區國稅局扣免繳申報統計表,['32757']
南區國稅局提升服務品質執行計畫,['29005']
南區國稅局暨其分局、稽徵所服務時間一覽表,['29007']
南區國稅局暨所屬各分局、稽徵所聯絡方式及服務時間,['29006']
南區國稅局最近國家賠償事件處理情形統計表,['28991']
南區國稅局期貨商家數統計表,['28980']
南區國稅局業務績效與榮譽一覽表,['29008']
南區國稅局業務職掌,['29009']
南區國稅局檔案應用常見問答集,['57713']
南區國稅局歷年支付或接受之補助,['29010']
南區國稅局法定預算,['15635']
南區國稅局為民服務意見調查報告,['29011']
南區國稅局為民服務白皮書,['29012']
南區國稅局營利事業單位數統計表,['36817']
南區國稅局營利事業所得稅受理災害損失報備情形統計表,['118388']
南區國稅局營利事業按收入級距核定情形統計表,['36816']
南區國稅局營業稅申報家數統計表,['32758']
南區國稅局當年度重要施政計畫,['29013']
南區國稅局稅籍登記申請收件統計表,['28990']
南區國稅局組織架構,['29014']
南區國稅局組織沿革,['29015']
南區國稅局綜合所得稅結算申報人工申報案件件數比較表,['122478']
南區國稅局綜合所得稅結算申報人工申報案件統計表,['31761']
南區國稅局線上申辦案件辦理情形統計表,['32312']
南區國稅局臨櫃查詢所得及扣除額件數統計表,['118387']
南區國稅局菸酒稅廠商家數統計表,['33668']
