中央研究院電子週報歷年資料集,['89839']
中央研究院預算案,['12485']
中華民國勳章,['46595']
中華民國憲法,['46585']
人權諮詢委員會,['46612']
儀節活動,['46614']
內部保有及管理個人資料之項目彙整表,['8691']
公報,['46147']
單位決算,"['77942', '100775', '118336']"
單位決算書表,"['19665', '28829', '44955']"
單位預算,"['26814', '43661', '77364', '99132', '118092']"
單位預算書,['12451']
單位預算案,"['21796', '35388', '52938', '90593', '107553', '129844']"
單位預算案書,['12450']
國史館主管法規命令,['27722']
國史館保有及管理個人資料公開項目彙整表,['27725']
國史館出版品目錄,['27723']
國史館單位決算,"['28399', '44934', '77122', '100101', '118393']"
國史館單位預算,"['26791', '43957', '77764', '99134', '118070']"
國史館單位預算案,"['21742', '35284', '54837', '91517', '108041', '130123']"
國史館會計月報,"['21711', '23463', '24507', '25217', '27002', '27698', '28405', '30378', '31222', '32115', '32996', '33644', '35282', '37479', '39085', '41220', '42765', '43229', '44010', '44885', '45337', '46059', '48202', '49811', '54232', '56633', '61281', '72065', '75470', '76347', '77966', '79029', '80784', '85662', '87650', '89695', '91096', '93190', '94746', '96258', '98137', '98927', '99930', '100852', '101899', '103435', '105075', '106811', '107830', '108997', '111147', '112968', '116012', '117522', '118861', '120281', '122541', '127001', '128298', '129140', '130031']"
國史館特別預算會計月報,"['56682', '61284', '72073', '74979', '76349', '77968', '79032', '80785', '85679', '87669', '89699', '91097', '93191', '94747', '96259', '98138', '98928', '99931', '100853', '101900', '103436', '105076', '106814', '107831', '108998', '111148', '112969', '114513', '117523', '118862', '120285', '122542', '127002', '128299', '129141', '130032']"
國史館組織架構與沿革,['27724']
國史館臺灣文獻館單位決算,"['18875', '54898', '76983', '99233', '117940']"
國史館臺灣文獻館單位決算資料,['28581']
國史館臺灣文獻館單位預算,"['78349', '99384', '118079']"
國史館臺灣文獻館單位預算案,"['54849', '91588', '107540', '130045']"
國史館臺灣文獻館會計月報,"['18876', '22211', '23968', '24553', '25673', '27325', '28604', '30604', '32175', '32204', '33504', '33990', '36180', '37556', '41399', '43012', '43459', '44082', '45025', '45610', '46463', '48892', '51857', '54237', '57693', '62747', '73187', '75466', '76982', '78047', '79345', '86148', '86149', '87357', '89784', '91587', '93692', '94705', '96507', '97947', '99231', '100271', '101183', '101977', '103362', '104816', '106816', '108173', '108765', '111128', '113753', '114838', '117935', '118833', '120382', '122064', '126753', '128193', '129198', '130042']"
國史館臺灣文獻館會計月報資料,"['28580', '39204']"
國史館臺灣文獻館法定預算,"['12474', '27597', '44083']"
國史館臺灣文獻館預算案,"['12475', '22214', '36181']"
國史館預算書,['12129']
國史館預算案,['12598']
國旗,['46592']
國歌,['46593']
國父,['46587']
國璽,['46594']
國花,['46588']
執行節能減碳成效,['9504']
對公務人員協會補助經費案,"['110951', '118096']"
常見問答,['46615']
影音頻道,['46114']
我有話要說,['46621']
政府組織(中央),['46596']
政府組織(地方),['46602']
政府網站資料開放宣告,['46620']
新聞,['46112']
會計月報,"['18559', '18704', '19642', '27760', '43165', '117584', '117592', '117610']"
榮總3總中研院合作研究計畫,['92184']
機關首長(副祕書長),['46611']
機關首長(秘書長),['46610']
每日活動行程,['51803']
決算書,['18451']
法令,['46469']
無障礙聲明,['46618']
焦點議題,['46117']
組織與職掌,['46603']
網路相簿,['46127']
總統令,['46153']
臺灣大學與中研院創新合作計畫,['92185']
蔡英文總統,['46578']
行憲後歷任副總統,['46584']
行憲後歷任總統,['46583']
陳建仁副總統,['46581']
隱私權及資訊安全政策,['46617']
雙語詞彙,['46616']
