國家教育研究院-兩岸對照名詞-海洋學術名詞,['15277']
國家教育研究院-兩岸對照名詞-測繪學學術名詞,['15286']
國家教育研究院-兩岸對照名詞-漁業水產學術名詞,['15288']
國家教育研究院-兩岸對照名詞-物理學學術名詞,['15274']
國家教育研究院-兩岸對照名詞-環境保護學術名詞,['15292']
國家教育研究院-兩岸對照名詞-畜牧學術名詞,['15278']
國家教育研究院-兩岸對照名詞-紡織學術名詞,['15279']
國家教育研究院-兩岸對照名詞-航天學術名詞,['15280']
國家教育研究院-兩岸對照名詞-航空學術名詞,['15281']
國家教育研究院-兩岸對照名詞-計算機學術名詞,['15275']
國家教育研究院-兩岸對照名詞-輕工學術名詞,['15289']
國家教育研究院-兩岸對照名詞-農業學術名詞,['15287']
國家教育研究院-兩岸對照名詞-通信學術名詞,['15284']
國家教育研究院-兩岸對照名詞-醫學學術名詞,['15314']
國家教育研究院-兩岸對照名詞-音樂學術名詞,['15276']
國家教育研究院-力學學術名詞,['14708']
國家教育研究院-動物學學術名詞,['15366']
國家教育研究院-化學名詞-不飽和雜環化合物學術名詞,['14842']
國家教育研究院-化學名詞-兩岸中小學教科書學術名詞,['15159']
國家教育研究院-化學名詞-兩岸化學名詞,['15160']
國家教育研究院-化學名詞-化學元素,['14843']
國家教育研究院-化學名詞-化學相關科學家,['14844']
國家教育研究院-化學名詞-化學術語學術名詞,['14845']
國家教育研究院-化學名詞-常見生物鹼名詞,['15162']
國家教育研究院-化學名詞-常見萜類學術名詞,['15163']
國家教育研究院-化學名詞-有機化合物之基學術名詞,['15158']
國家教育研究院-化學名詞-有機化合物學術名詞,['14846']
國家教育研究院-化學名詞-無機化合物,['15164']
國家教育研究院-化學名詞-硼化合物學術名詞,['15165']
國家教育研究院-化學名詞-高中以下化學名詞,['15161']
國家教育研究院-化學工程學術名詞,['14841']
國家教育研究院-圖書館學與資訊科學學術名詞,['15419']
國家教育研究院-土壤學學術名詞,['14837']
國家教育研究院-土木工程學術名詞,['14709']
國家教育研究院-地球科學名詞-兩岸中小學教科書學術名詞,['15249']
國家教育研究院-地球科學名詞-高中含以下地球科學學術名詞,['15250']
