103度中央政府總決算歲入歲出簡明比較分析表,['23850']
產業關聯統計-產品對產品(CXC)164部門進口品投入係數表(按C.I.F計值),['119434']
產業關聯統計-產品對產品(CXC)487部門國產品交易表,['119443']
產業關聯統計-產品對產品(CXC)487部門生產者價格交易表(含進口稅淨額),['119444']
產業關聯統計-產品對產品(CXC)487部門生產者價格交易表(進口品按C.I.F.計值),['119440']
產業關聯統計-產品對產品(CXC)487部門購買者價格交易表,['119441']
產業關聯統計-產品對產品(CXC)63部門國內關聯程度表(I-D),['119419']
產業關聯統計-產品對產品(CXC)63部門國產品交易表,['119413']
產業關聯統計-產品對產品(CXC)63部門國產品投入係數表,['119418']
產業關聯統計-產品對產品(CXC)63部門生產者價格交易表(含進口稅淨額),['119423']
產業關聯統計-產品對產品(CXC)63部門生產者價格交易表(進口品按C.I.F.計值),['119406']
產業關聯統計-產品對產品(CXC)63部門生產者價格投入係數表,['119407']
產業關聯統計-產品對產品(CXC)63部門產業關聯程度表(I-(I-M)A),['119409']
產業關聯統計-產品對產品(CXC)63部門產業關聯程度表(I-A),['119408']
產業關聯統計-產品對產品(CXC)63部門購買者價格交易表,['119410']
產業關聯統計-產品對產品(CXC)63部門進口品交易表(C.I.F.+進口稅淨額),['119424']
產業關聯統計-產品對產品(CXC)63部門進口品交易表(按C.I.F計值),['119420']
產業關聯統計-產品對產品(CXC)63部門進口品投入係數表(按C.I.F計值),['119421']
產業關聯統計-產品對產業(CXI)164部門供給表,['119450']
產業關聯統計-產品對產業(CXI)164部門國產品使用表,['119453']
產業關聯統計-產品對產業(CXI)164部門生產者價格使用表(進口按C.I.F.計值),['119452']
產業關聯統計-產品對產業(CXI)164部門購買者價格使用表,['119451']
產業關聯統計-產品對產業(CXI)164部門進口品使用表(按C.I.F.計值),['119454']
產業關聯統計-產品對產業(CXI)63部門供給表,['119445']
產業關聯統計-產品對產業(CXI)63部門國產品使用表,['119448']
產業關聯統計-產品對產業(CXI)63部門生產者價格使用表(進口按C.I.F.計值),['119447']
產業關聯統計-產品對產業(CXI)63部門購買者價格使用表,['119446']
產業關聯統計-產品對產業(CXI)63部門進口品使用表(按C.I.F.計值),['119449']
產業關聯統計網址連結,['44213']
用水供應及污染整治業廠商空缺員工僱用條件概況,['36795']
礦業及土石採取業、電力及燃氣供應業、用水供應及污染整治業企業單位使用勞動派遣、研究發展、創新活動及自有品牌概況,['111676']
礦業及土石採取業、電力及燃氣供應業、用水供應及污染整治業企業單位全年各項支出,['111668']
礦業及土石採取業、電力及燃氣供應業、用水供應及污染整治業企業單位全年各項收入,['111667']
礦業及土石採取業、電力及燃氣供應業、用水供應及污染整治業企業單位各項生產力及經營效率,['111670']
礦業及土石採取業、電力及燃氣供應業、用水供應及污染整治業企業單位實際運用資產淨額,"['111664', '111665', '111666']"
礦業及土石採取業、電力及燃氣供應業、用水供應及污染整治業企業單位年底從業員工人數及全年薪資,"['111661', '111662', '111663']"
礦業及土石採取業、電力及燃氣供應業、用水供應及污染整治業企業單位數,"['111671', '111672', '111673', '111674']"
礦業及土石採取業、電力及燃氣供應業、用水供應及污染整治業企業單位營運數位化概況,['111675']
礦業及土石採取業、電力及燃氣供應業、用水供應及污染整治業企業單位生產淨額,['111669']
礦業及土石採取業、電力及燃氣供應業、用水供應及污染整治業企業單位經營概況,"['111657', '111658', '111659', '111660']"
礦業及土石採取業、電力及燃氣供應業、用水供應及污染整治業場所單位年底從業員工人數及全年薪資,"['122298', '122299']"
礦業及土石採取業、電力及燃氣供應業、用水供應及污染整治業場所單位數,"['122300', '122301', '122302', '122303']"
礦業及土石採取業、電力及燃氣供應業、用水供應及污染整治業場所單位經營概況,"['122296', '122297']"
礦業及土石採取業廠商短缺員工僱用條件概況,['36792']
社會發展趨勢調查,['10914']
科學工業園區廠商空缺員工僱用條件概況,['40293']
空氣品質帳,['9758']
空氣污染應削減排放量,['9757']
空氣污染排放帳,['6688']
組織制度,['10446']
統計法規,['10928']
統計調查執行標準作業程序,['10932']
統計調查管理作業事項,['10931']
統計調查識別標章,['10962']
綠色國民所得,['10900']
線源空氣污染排放帳,['9755']
縣市指標,['10935']
職掌與人力,['10447']
職業標準分類,['14322']
職能別分類編號表,['13059']
自行研究報告,['10977']
臺中市住宅單位數,['24786']
臺中市住戶數、常住人口數及平均每戶人口數,['24762']
臺中市工商及服務業場所單位年底從業員工人數及全年薪資,['15737']
臺中市工商及服務業場所單位經營概況,['15713']
臺中市常住人口之年齡結構(不含外籍勞工),['20708']
臺中市常住人口之性比例(不含外籍勞工),['18524']
臺中市常住人口數及人口密度,['18454']
臺中市１５歲以上常住人口之婚姻狀況,['22392']
臺中市１５歲以上常住人口之教育程度,['20731']
臺中市１５歲以上民間常住人口之工作狀況,['22419']
臺中市５歲以上常住人口之遷徙情形,['24247']
臺中市６歲以上常住人口之工作地及就學地狀況,['24285']
臺北市住宅單位數,['24785']
臺北市住戶數、常住人口數及平均每戶人口數,['24761']
臺北市工商及服務業場所單位年底從業員工人數及全年薪資,['15731']
臺北市工商及服務業場所單位經營概況,['15707']
臺北市常住人口之年齡結構(不含外籍勞工),['20707']
臺北市常住人口之性比例(不含外籍勞工),['18523']
臺北市常住人口數及人口密度,['18450']
臺北市１５歲以上常住人口之婚姻狀況,['22391']
臺北市１５歲以上常住人口之教育程度,['20730']
臺北市１５歲以上民間常住人口之工作狀況,['22418']
臺北市５歲以上常住人口之遷徙情形,['24246']
臺北市６歲以上常住人口之工作地及就學地狀況,['24284']
臺南市住宅單位數,['24787']
臺南市住戶數、常住人口數及平均每戶人口數,['24763']
臺南市工商及服務業場所單位年底從業員工人數及全年薪資,['15742']
臺南市工商及服務業場所單位經營概況,['15718']
臺南市常住人口之年齡結構(不含外籍勞工),['20709']
臺南市常住人口之性比例(不含外籍勞工),['18525']
臺南市常住人口數及人口密度,['18503']
臺南市１５歲以上常住人口之婚姻狀況,['22393']
臺南市１５歲以上常住人口之教育程度,['20732']
臺南市１５歲以上民間常住人口之工作狀況,['22420']
臺南市５歲以上常住人口之遷徙情形,['24248']
臺南市６歲以上常住人口之工作地及就學地狀況,['24286']
臺東縣住宅單位數,['24798']
臺東縣住戶數、常住人口數及平均每戶人口數,['24774']
臺東縣工商及服務業場所單位年底從業員工人數及全年薪資,['15748']
臺東縣工商及服務業場所單位經營概況,['15724']
臺東縣常住人口之年齡結構(不含外籍勞工),['20720']
臺東縣常住人口之性比例(不含外籍勞工),['18536']
臺東縣常住人口數及人口密度,['18514']
臺東縣１５歲以上常住人口之婚姻狀況,['22404']
臺東縣１５歲以上常住人口之教育程度,['20743']
臺東縣１５歲以上民間常住人口之工作狀況,['22432']
臺東縣５歲以上常住人口之遷徙情形,['24259']
臺東縣６歲以上常住人口之工作地及就學地狀況,['24297']
花蓮縣住宅單位數,['24799']
花蓮縣住戶數、常住人口數及平均每戶人口數,['24775']
花蓮縣工商及服務業場所單位年底從業員工人數及全年薪資,['15749']
花蓮縣工商及服務業場所單位經營概況,['15726']
花蓮縣常住人口之年齡結構(不含外籍勞工),['20721']
花蓮縣常住人口之性比例(不含外籍勞工),['18537']
花蓮縣常住人口數及人口密度,['18515']
花蓮縣１５歲以上常住人口之婚姻狀況,['22405']
花蓮縣１５歲以上常住人口之教育程度,['20744']
花蓮縣１５歲以上民間常住人口之工作狀況,['22433']
花蓮縣５歲以上常住人口之遷徙情形,['24260']
花蓮縣６歲以上常住人口之工作地及就學地狀況,['24298']
苗栗縣住宅單位數,['24792']
苗栗縣住戶數、常住人口數及平均每戶人口數,['24768']
苗栗縣工商及服務業場所單位年底從業員工人數及全年薪資,['15738']
苗栗縣工商及服務業場所單位經營概況,['15714']
苗栗縣常住人口之年齡結構(不含外籍勞工),['20714']
苗栗縣常住人口之性比例(不含外籍勞工),['18530']
苗栗縣常住人口數及人口密度,['18508']
苗栗縣１５歲以上常住人口之婚姻狀況,['22398']
苗栗縣１５歲以上常住人口之教育程度,['20737']
苗栗縣１５歲以上民間常住人口之工作狀況,['22425']
苗栗縣５歲以上常住人口之遷徙情形,['24253']
苗栗縣６歲以上常住人口之工作地及就學地狀況,['24291']
薪資及生產力統計,['10903']
薪資發放系統簡介,['10973']
藝術、娛樂及休閒服務業廠商空缺員工僱用條件概況,['40291']
行業標準分類,['14321']
製造業企業單位全年各項支出,['111748']
製造業企業單位全年各項收入,['111747']
製造業企業單位各項生產力及經營效率,['111750']
製造業企業單位實際運用資產淨額,"['111744', '111745', '111746']"
製造業企業單位年底從業員工人數及全年薪資,"['111741', '111742', '111743']"
製造業企業單位數,"['111751', '111752', '111753', '111754']"
製造業企業單位營運數位化及使用勞動派遣概況,['111755']
製造業企業單位生產淨額,['111749']
製造業企業單位研究發展、創新活動、自有品牌及環保支出概況,['111803']
製造業企業單位經營概況,"['111737', '111738', '111739', '111740']"
製造業場所單位年底從業員工人數及全年薪資,"['122306', '122307']"
製造業場所單位數,"['122308', '122309', '122310', '122311']"
製造業場所單位經營概況,"['122304', '122305']"
製造業廠商空缺員工僱用條件概況,['36793']
財物標準分類,['10893']
資料開放行動方案,['27970']
資源回收稽核認證量,['9762']
資訊及通訊傳播業廠商空缺員工僱用條件概況,['37974']
躉售物價內外銷及產地來源分類指數,['8238']
躉售物價內銷品加工階段分類指數,['14333']
躉售物價內銷品基本分類指數,['14330']
躉售物價國產內銷品基本分類指數,['14334']
躉售物價國產品基本分類指數,['14331']
躉售物價基本分類指數,['8239']
辦理人民申請提供政府資訊案件統計,['10980']
農事及畜牧服務業之全年作業數量,['72670']
農事及畜牧服務業之從業員工人數,"['72672', '72673']"
農事及畜牧服務業之農業機械數量,['80695']
農事及畜牧服務業家數,"['72664', '72665', '72666', '72667', '72668', '72669', '80693']"
農事及畜牧服務業經營管理者,['72671']
農事及畜牧服務用地及房舍面積,['80694']
農林漁牧業普查,['10907']
農林漁牧業普查統計結果摘要,['81414']
農業廢棄物排放帳,['7435']
農牧場8大類作物種植家數,['72610']
農牧場各種作物種植情形,['72611']
農牧場各種家畜禽飼養情形,['72617']
農牧場家畜禽飼養家數,['72612']
農牧場肉豬家數,['72614']
農牧場肉雞家數,['72616']
農牧場養豬家數,['72613']
農牧場養雞家數,['72615']
農牧戶8大類作物種植家數,['72571']
農牧戶「柑桔類」種植家數,['72580']
農牧戶「檳榔」種植家數,['72574']
農牧戶「甘藍」種植家數,['72578']
農牧戶「稻作」種植家數,['72572']
農牧戶「竹筍」種植家數,['72575']
農牧戶「綠肥作物」種植家數,['72573']
農牧戶「芒果」種植家數,['72579']
農牧戶「落花生」種植家數,['72577']
農牧戶「香蕉」種植家數,['72576']
農牧戶各種作物種植情形,['72581']
農牧戶各種家畜禽飼養情形,['72582']
農牧戶家畜禽飼養家數,['80660']
農牧戶肉豬家數,['72584']
農牧戶肉雞家數,['72586']
農牧戶養豬家數,['72583']
農牧戶養雞家數,['72585']
農牧業8大類作物種植家數,['72639']
農牧業「柑桔類」種植家數,['72648']
農牧業「檳榔」種植家數,['72642']
農牧業「甘藍」種植家數,['72646']
農牧業「稻作」種植家數,['72640']
農牧業「竹筍」種植家數,['72643']
農牧業「綠肥作物」種植家數,['72641']
農牧業「芒果」種植家數,['72647']
農牧業「落花生」種植家數,['72645']
農牧業「香蕉」種植家數,['72644']
農牧業各種作物種植情形,['72649']
農牧業各種家畜禽飼養情形,['72655']
農牧業家畜禽飼養家數,['72650']
農牧業肉豬家數,['72652']
農牧業肉雞家數,['72654']
農牧業養豬家數,['72651']
農牧業養雞家數,['72653']
通訊地址,['10449']
連江縣住宅單位數,['24805']
連江縣住戶數、常住人口數及平均每戶人口數,['24781']
連江縣工商及服務業場所單位年底從業員工人數及全年薪資,['15751']
連江縣工商及服務業場所單位經營概況,['15729']
連江縣常住人口之年齡結構(不含外籍勞工),['20727']
連江縣常住人口之性比例(不含外籍勞工),['18543']
連江縣常住人口數及人口密度,['18521']
連江縣１５歲以上常住人口之婚姻狀況,['22411']
連江縣１５歲以上常住人口之教育程度,['20750']
連江縣１５歲以上民間常住人口之工作狀況,['22439']
連江縣５歲以上常住人口之遷徙情形,['24266']
連江縣６歲以上常住人口之工作地及就學地狀況,['24304']
進口物價基本分類指數(按HS分)(新台幣計價),['8241']
進口物價基本分類指數(按HS分)(美元計價),['8240']
進口物價用途別分類指數(新台幣計價),['8242']
進口物價用途別分類指數(美元計價),['8243']
進口物價部門別分類指數(新台幣計價),['14335']
進口物價部門別分類指數(美元計價),['14336']
運輸及倉儲業企業單位使用勞動派遣、研究發展、創新活動及自有品牌概況,['112136']
運輸及倉儲業企業單位全年各項支出,['112128']
運輸及倉儲業企業單位全年各項收入,['112127']
運輸及倉儲業企業單位各項生產力及經營效率,['112130']
運輸及倉儲業企業單位實際運用資產淨額,"['112079', '112080', '112126']"
運輸及倉儲業企業單位年底從業員工人數及全年薪資,"['112076', '112077', '112078']"
運輸及倉儲業企業單位數,"['112131', '112132', '112133', '112134']"
運輸及倉儲業企業單位營運數位化概況,['112135']
運輸及倉儲業企業單位生產淨額,['112129']
運輸及倉儲業企業單位經營概況,"['112072', '112073', '112074', '112075']"
運輸及倉儲業場所單位年底從業員工人數及全年薪資,"['122330', '122331']"
運輸及倉儲業場所單位數,"['122332', '122333', '122334', '122335']"
運輸及倉儲業場所單位經營概況,"['122328', '122329']"
運輸及倉儲業廠商空缺員工僱用條件概況,['37972']
醫療保健服務業廠商空缺員工僱用條件概況,['40290']
醫療廢棄物排放帳,['9760']
金融及保險業企業單位使用勞動派遣、研究發展、創新活動及自有品牌概況,['112156']
金融及保險業企業單位全年各項支出,['112148']
金融及保險業企業單位全年各項收入,['112147']
金融及保險業企業單位各項生產力及經營效率,['112150']
金融及保險業企業單位實際運用資產淨額,"['112144', '112145', '112146']"
金融及保險業企業單位年底從業員工人數及全年薪資,"['112141', '112142', '112143']"
金融及保險業企業單位數,"['112151', '112152', '112153', '112154']"
金融及保險業企業單位營運數位化概況,['112155']
金融及保險業企業單位生產淨額,['112149']
金融及保險業企業單位經營概況,"['112137', '112138', '112139', '112140']"
金融及保險業場所單位年底從業員工人數及全年薪資,"['122338', '122339']"
金融及保險業場所單位數,"['122340', '122341', '122342', '122343']"
金融及保險業場所單位經營概況,"['122336', '122337']"
金融及保險業廠商空缺員工僱用條件概況,['37975']
金門縣住宅單位數,['24804']
金門縣住戶數、常住人口數及平均每戶人口數,['24780']
金門縣工商及服務業場所單位年底從業員工人數及全年薪資,['15750']
金門縣工商及服務業場所單位經營概況,['15727']
金門縣常住人口之年齡結構(不含外籍勞工),['20726']
金門縣常住人口之性比例(不含外籍勞工),['18542']
金門縣常住人口數及人口密度,['18520']
金門縣１５歲以上常住人口之婚姻狀況,['22410']
金門縣１５歲以上常住人口之教育程度,['20749']
金門縣１５歲以上民間常住人口之工作狀況,['22438']
金門縣５歲以上常住人口之遷徙情形,['24265']
金門縣６歲以上常住人口之工作地及就學地狀況,['24303']
附屬單位決算(營業部分),['10983']
附屬單位決算(非營業部分),['10984']
附屬單位結算(營業部分),['10988']
附屬單位結算(非營業部分),['10989']
雲林縣住宅單位數,['24795']
雲林縣住戶數、常住人口數及平均每戶人口數,['24771']
雲林縣工商及服務業場所單位年底從業員工人數及全年薪資,['15741']
雲林縣工商及服務業場所單位經營概況,['15717']
雲林縣常住人口之年齡結構(不含外籍勞工),['20717']
雲林縣常住人口之性比例(不含外籍勞工),['18533']
雲林縣常住人口數及人口密度,['18511']
雲林縣１５歲以上常住人口之婚姻狀況,['22401']
雲林縣１５歲以上常住人口之教育程度,['20740']
雲林縣１５歲以上民間常住人口之工作狀況,['22428']
雲林縣５歲以上常住人口之遷徙情形,['24256']
雲林縣６歲以上常住人口之工作地及就學地狀況,['24294']
電力及燃氣供應業廠商空缺員工僱用條件概況,['36794']
電腦應用概況報告,['10975']
電話總機,['10448']
青少年狀況調查,['10913']
非勞動力之教育程度與年齡,['40288']
非勞動力之未參與勞動原因,['34119']
非營業特種基金名稱及會計科目代碼,['15438']
非金屬及能源礦產實物資產帳,['39474']
面源空氣污染排放帳,['9756']
預算編審程序,['10888']
高雄市住宅單位數,['24788']
高雄市住戶數、常住人口數及平均每戶人口數,['24764']
高雄市工商及服務業場所單位年底從業員工人數及全年薪資,['15743']
高雄市工商及服務業場所單位經營概況,['15719']
高雄市常住人口之年齡結構(不含外籍勞工),['20710']
高雄市常住人口之性比例(不含外籍勞工),['18526']
高雄市常住人口數及人口密度,['18504']
高雄市１５歲以上常住人口之婚姻狀況,['22394']
高雄市１５歲以上常住人口之教育程度,['20733']
高雄市１５歲以上民間常住人口之工作狀況,['22421']
高雄市５歲以上常住人口之遷徙情形,['24249']
高雄市６歲以上常住人口之工作地及就學地狀況,['24287']
點源空氣污染排放帳,['9754']
１５歲以上常住人口之婚姻狀況,['24242']
１５歲以上常住人口之教育程度,['24241']
１５歲以上民間常住人口之工作狀況,['24243']
５歲以上常住人口之遷徙情形,['24244']
６歲以上常住人口之工作地及就學地狀況,['24282']
