103度中央政府總決算歲入歲出簡明比較分析表,['23850']
中央政府總預算預算案附屬單位預算綜計表(非營業部分)-債務基金,"['11849', '21580', '23864']"
中央政府總預算預算案附屬單位預算綜計表(非營業部分)-特別收入基金,"['11848', '21557', '23863']"
中央政府總預算預算案附屬單位預算綜計表(非營業部分)-資本計畫基金,"['11850', '21573', '23865']"
中老年就業狀況調查,['10910']
主力農家經營概況調查,['10919']
主計人員人事應用系統簡介,['10972']
主計總處資料開放盤點表,['34176']
乙類有限取用資料清單,['89782']
事業人力僱用狀況調查,['10916']
人力資源調查15歲以上民間人口,['6795']
人力資源調查勞動力人數,['6796']
人力資源調查勞動力參與率,['6636']
人力資源調查失業人數,['6798']
人力資源調查失業率,['6637']
人力資源調查失業者之失業原因,['6638']
人力資源調查就業人數,['6797']
人力資源調查縣市別失業率,['6640']
人力資源調查重要指標,['33442']
人力資源調查重要結果,['33441']
人力資源調查非勞動力之未參與勞動原因,['6639']
人力資源調查非勞動力人數,['6635']
人力運用調查,['10911']
人口及住宅普查,['10906']
人口及住宅普查１５歲以上民間常住人口,['14355']
人類發展指數(HDI),['25711']
住宅單位數,['24783']
住宿及餐飲業廠商空缺員工僱用條件概況,['37973']
住戶數、常住人口數及平均每戶人口數,['24759']
內部審核,['10892']
全國主計網簡介,['10974']
公共工程及採購契約,['10992']
其他服務業廠商空缺員工僱用條件概況,['40292']
出口物價基本分類指數(按HS分)(新台幣計價),['8245']
出口物價基本分類指數(按HS分)(美元計價),['8244']
出口物價用途別分類指數(新台幣計價),['14338']
出口物價用途別分類指數(美元計價),['14340']
出口物價部門別分類指數(新台幣計價),['14337']
出口物價部門別分類指數(美元計價),['14339']
出國報告,['10979']
出版、影音製作、傳播及資通訊服務業、不動產業、專業科學及技術服務業與支援服務業企業單位使用勞動派遣、研究發展、創新活動及自有品牌概況,['112283']
出版、影音製作、傳播及資通訊服務業、不動產業、專業科學及技術服務業與支援服務業企業單位全年各項支出,['112275']
出版、影音製作、傳播及資通訊服務業、不動產業、專業科學及技術服務業與支援服務業企業單位全年各項收入,['112274']
出版、影音製作、傳播及資通訊服務業、不動產業、專業科學及技術服務業與支援服務業企業單位各項生產力及經營效率,['112277']
出版、影音製作、傳播及資通訊服務業、不動產業、專業科學及技術服務業與支援服務業企業單位實際運用資產淨額,"['112271', '112272', '112273']"
出版、影音製作、傳播及資通訊服務業、不動產業、專業科學及技術服務業與支援服務業企業單位年底從業員工人數及全年薪資,"['112268', '112269', '112270']"
出版、影音製作、傳播及資通訊服務業、不動產業、專業科學及技術服務業與支援服務業企業單位數,"['112278', '112279', '112280', '112281']"
出版、影音製作、傳播及資通訊服務業、不動產業、專業科學及技術服務業與支援服務業企業單位營運數位化概況,['112282']
出版、影音製作、傳播及資通訊服務業、不動產業、專業科學及技術服務業與支援服務業企業單位生產淨額,['112276']
出版、影音製作、傳播及資通訊服務業、不動產業、專業科學及技術服務業與支援服務業企業單位經營概況,"['112157', '112158', '112159', '112267']"
出版、影音製作、傳播及資通訊服務業、不動產業、專業科學及技術服務業與支援服務業場所單位年底從業員工人數及全年薪資,"['122346', '122347']"
出版、影音製作、傳播及資通訊服務業、不動產業、專業科學及技術服務業與支援服務業場所單位數,"['122348', '122349', '122350', '122351']"
出版、影音製作、傳播及資通訊服務業、不動產業、專業科學及技術服務業與支援服務業場所單位經營概況,"['122344', '122345']"
出版品及統計資訊提供,['10939']
勞動力之教育程度與年齡,['33444']
南投縣住宅單位數,['24794']
南投縣住戶數、常住人口數及平均每戶人口數,['24770']
南投縣工商及服務業場所單位年底從業員工人數及全年薪資,['15740']
南投縣工商及服務業場所單位經營概況,['15716']
南投縣常住人口之年齡結構(不含外籍勞工),['20716']
南投縣常住人口之性比例(不含外籍勞工),['18532']
南投縣常住人口數及人口密度,['18510']
南投縣１５歲以上常住人口之婚姻狀況,['22400']
南投縣１５歲以上常住人口之教育程度,['20739']
南投縣１５歲以上民間常住人口之工作狀況,['22427']
南投縣５歲以上常住人口之遷徙情形,['24255']
南投縣６歲以上常住人口之工作地及就學地狀況,['24293']
受僱員工動向調查,['10917']
各業前轉業受僱員工進入人次,"['33452', '33453', '33454']"
各業受僱員工人數,"['31838', '31839', '31840']"
各業受僱員工正常工時,['31841']
各業受僱員工經常性薪資,['31842']
各業受僱員工經常性薪資計薪方式之人數比率,"['32753', '32755']"
各業受僱員工退休(含優惠退休)人數,['31837']
各業受僱員工退出人次,"['31069', '31070', '31071', '31072', '33456']"
各業受僱員工進入人次,"['31066', '31067', '31068', '33449', '33450', '33451']"
各業受僱員工進退人次,['31065']
各業廠商人員過剩之主要原因,['40295']
各業廠商人員過剩之處理方式,['40296']
各業廠商人員過剩概況,['40294']
各業廠商僱用短缺員工,['34125']
各業廠商均無調薪參考各項因素之廠商比率,['32752']
各業廠商尋找員工之方法,['40297']
各業廠商平均支付每人各項非薪資報酬情形,"['31843', '31844']"
各業廠商招募員工時曾遭遇之困難,['40298']
各業廠商短缺員工概況,['34120']
各業廠商短缺員工計薪單位,['34123']
各業廠商調升經常性薪資參考各項因素之廠商比率,['32751']
各業廠商調整員工經常性薪資之廠商與員工人數比率,"['32749', '32750']"
各業廠商調降經常性薪資參考各項因素之廠商比率,['32748']
各機關歲出1級用途別科目分析總表,"['6593', '9168']"
各機關歲出2級用途別科目分析總表,"['6594', '9170']"
各機關統計調查一覽表,['8371']
各直轄市及縣(市)總預算彙編,['10887']
單位決算,['19741']
單位預算,['10990']
嘉義市住宅單位數,['24803']
嘉義市住戶數、常住人口數及平均每戶人口數,['24779']
嘉義市工商及服務業場所單位年底從業員工人數及全年薪資,['15744']
嘉義市工商及服務業場所單位經營概況,['15720']
嘉義市常住人口之年齡結構(不含外籍勞工),['20725']
嘉義市常住人口之性比例(不含外籍勞工),['18541']
嘉義市常住人口數及人口密度,['18519']
嘉義市１５歲以上常住人口之婚姻狀況,['22409']
嘉義市１５歲以上常住人口之教育程度,['20748']
嘉義市１５歲以上民間常住人口之工作狀況,['22437']
嘉義市５歲以上常住人口之遷徙情形,['24264']
嘉義市６歲以上常住人口之工作地及就學地狀況,['24302']
嘉義縣住宅單位數,['24796']
嘉義縣住戶數、常住人口數及平均每戶人口數,['24772']
嘉義縣工商及服務業場所單位年底從業員工人數及全年薪資,['15745']
嘉義縣工商及服務業場所單位經營概況,['15721']
嘉義縣常住人口之年齡結構(不含外籍勞工),['20718']
嘉義縣常住人口之性比例(不含外籍勞工),['18534']
嘉義縣常住人口數及人口密度,['18512']
嘉義縣１５歲以上常住人口之婚姻狀況,['22402']
嘉義縣１５歲以上常住人口之教育程度,['20741']
嘉義縣１５歲以上民間常住人口之工作狀況,['22430']
嘉義縣５歲以上常住人口之遷徙情形,['24257']
嘉義縣６歲以上常住人口之工作地及就學地狀況,['24295']
國內遷徙調查,['10915']
國富統計,['10908']
國民所得統計-一般政府經常收支,['44627']
國民所得統計-公司企業部門之收支-年,['44236']
國民所得統計-各業固定資本形成毛額-年,['17278']
國民所得統計-固定資本形成毛額-季,['6690']
國民所得統計-固定資本形成毛額-年,['45042']
國民所得統計-國內各業生產及平減指數-季,['6691']
國民所得統計-國內各業生產及平減指數-年,['44222']
國民所得統計-國內生產及要素所得-年,['6693']
國民所得統計-國內生產毛額依支出分-季(1961-1980),['44223']
國民所得統計-國內生產毛額依支出分-季(1981以後),['6801']
國民所得統計-國內生產毛額依支出分-年(1951-1980),['44221']
國民所得統計-國內生產毛額依支出分-年(1981以後),['44224']
國民所得統計-國內生產毛額貢獻度-依支出分-季,['6803']
國民所得統計-國內生產毛額貢獻度-依支出分-年,['44230']
國民所得統計-國內生產毛額貢獻度-依行業分-季,['6692']
國民所得統計-國內生產毛額貢獻度-依行業分-年,['44225']
國民所得統計-國內資本形成毛額之財源-年,['44229']
國民所得統計-國民所得、儲蓄與投資-季,['44232']
國民所得統計-國民所得、儲蓄與投資-年,['44231']
國民所得統計-存貨變動-年,['6804']
國民所得統計-家庭及民間非營利機構之收支-年,['44235']
國民所得統計-對外交易-年,['44233']
國民所得統計-常用資料-季,['6799']
國民所得統計-常用資料-年,['44218']
國民所得統計-平均每人統計結果-季,['6800']
國民所得統計-平均每人統計結果-年,['44219']
國民所得統計-所得按部門別之分配-年,['44234']
國民所得統計-政府消費,['117721']
國民所得統計-民間消費-季,['6802']
國民所得統計-民間消費-年,['44226']
國民所得統計-經季節調整之國內生產毛額依支出分-季,['6689']
國民所得統計網址連結,['44212']
國營事業導入國際財務報導準則之會計科目代碼,['15429']
土石資源實物資產帳,['39475']
在沿岸、河川或湖泊之不使用漁船採捕作業家數,['79393']
地下水實物資產帳,['44167']
地方政府會計速報,['10897']
地方政府歲計會計資訊管理系統之推動簡介,['10967']
執行機關資源回收量,['9761']
基金別預算分析表,"['6597', '9160']"
基隆市住宅單位數,['24801']
基隆市住戶數、常住人口數及平均每戶人口數,['24777']
基隆市工商及服務業場所單位年底從業員工人數及全年薪資,['15732']
基隆市工商及服務業場所單位經營概況,['15708']
基隆市常住人口之年齡結構(不含外籍勞工),['20723']
基隆市常住人口之性比例(不含外籍勞工),['18539']
基隆市常住人口數及人口密度,['18517']
基隆市１５歲以上常住人口之婚姻狀況,['22407']
基隆市１５歲以上常住人口之教育程度,['20746']
基隆市１５歲以上民間常住人口之工作狀況,['22435']
基隆市５歲以上常住人口之遷徙情形,['24262']
基隆市６歲以上常住人口之工作地及就學地狀況,['24300']
失業者之失業原因,['40282']
失業者之失業週數,"['40283', '40284']"
失業者之教育程度,['37970']
失業者之教育程度與年齡,['34116']
委託研究報告,['10978']
婚姻狀況別勞動力參與率,"['33447', '36800', '36801']"
婦女婚育與就業調查,['10912']
宜蘭縣住宅單位數,['24789']
宜蘭縣住戶數、常住人口數及平均每戶人口數,['24765']
宜蘭縣工商及服務業場所單位年底從業員工人數及全年薪資,['15734']
宜蘭縣工商及服務業場所單位經營概況,['15710']
宜蘭縣常住人口之年齡結構(不含外籍勞工),['20711']
宜蘭縣常住人口之性比例(不含外籍勞工),['18527']
宜蘭縣常住人口數及人口密度,['18505']
宜蘭縣１５歲以上常住人口之婚姻狀況,['22395']
宜蘭縣１５歲以上常住人口之教育程度,['20734']
宜蘭縣１５歲以上民間常住人口之工作狀況,['22422']
宜蘭縣５歲以上常住人口之遷徙情形,['24250']
宜蘭縣６歲以上常住人口之工作地及就學地狀況,['24288']
家庭收支調查-人數5等分位組之所得差距,['9156']
家庭收支調查-各縣市別平均每戶儲蓄,['9416']
家庭收支調查-各縣市別平均每戶受僱人員報酬,['9419']
家庭收支調查-各縣市別平均每戶可支配所得,['9415']
家庭收支調查-各縣市別平均每戶所得收入總計,['9418']
家庭收支調查-各縣市別平均每戶所得總額,['9417']
家庭收支調查-各縣市別平均每戶消費支出,['9420']
家庭收支調查-各縣市別平均每戶經常性支出,['9805']
家庭收支調查-各縣市別平均每戶非消費支出,['9804']
家庭收支調查-家庭主要設備普及率,['9558']
家庭收支調查-家庭住宅及主要設備概況,"['109890', '109891']"
家庭收支調查-家庭住宅及主要設備概況依可支配所得,['111590']
家庭收支調查-家庭住宅狀況,['9557']
家庭收支調查-家庭戶數,['111591']
家庭收支調查-家庭戶數按戶內人口規模別之分配,['9559']
家庭收支調查-家庭收支重要指標,['6429']
家庭收支調查-家庭消費支出結構,['6588']
家庭收支調查-家庭組織型態別平均每戶儲蓄,['54823']
家庭收支調查-家庭組織型態別平均每戶受僱人員報酬,['76263']
