資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
臺灣彰化地方法院103年度單位決算(XML),17431,歲入來源別決算表、歲出政事別決算表、歲出機關別決算表、歲入類平衡表、經費類平衡表、以前年度歲出機關別轉入數決算表、以前年度歲入來源別轉入數決算表、以前年度歲出政事別轉入數決算表,歲入來源別決算表;歲出政事別決算表;歲出機關別決算表;歲入類平衡表;經費類平衡表;以前年度歲出機關別轉入數決算表;以前年度歲入來源別轉入數決算表;以前年度歲出政事別轉入數決算表,臺灣彰化地方法院
臺灣彰化地方法院103年度單位決算(PDF),17433,臺灣彰化地方法院103年度單位決算(PDF),臺灣彰化地方法院103年度單位決算,臺灣彰化地方法院
103年度臺灣士林地方法院單位決算,17437,103年度臺灣士林地方法院單位決算,103年度臺灣士林地方法院單位決算,臺灣士林地方法院
臺中高等行政法院會計報告,17438,臺中高等行政法院會計報告資料，自104年1月份起提供開放。,臺中高等行政法院歲入類;經費類會計報表,臺中高等行政法院
104年度1月份臺灣士林地方法院會計報告,17440,104年度1月份臺灣士林地方法院會計報告,104年度1月份臺灣士林地方法院會計報告,臺灣士林地方法院
103年度臺灣高等法院單位決算,17441,103年度臺灣高等法院單位決算,103年度臺灣高等法院單位決算,臺灣高等法院
104年度2月份臺灣士林地方法院會計報告,17442,104年度2月份臺灣士林地方法院會計報告,104年度2月份臺灣士林地方法院會計報告,臺灣士林地方法院
臺灣南投地方法院會計報告,17444,臺灣南投地方法院會計報告，自104年1月起提供開放。,臺灣南投地方法院歲入類;經費類等會計報表,臺灣南投地方法院
公告臺灣花蓮地方法院103年度決算書表(xml)檔,17448,103年度決算書表(xml)檔,歲入來源別決算表等8張書表,臺灣花蓮地方法院
103年度臺灣臺南地方法院單位決算,17451,103年度臺灣臺南地方法院單位決算,103年度臺灣臺南地方法院單位決算,臺灣臺南地方法院
公告臺灣花蓮地方法院104年1-5月會計月報(xml)檔,17452,104年1-5月會計月報(xml)檔,104年1-5月會計月報檔,臺灣花蓮地方法院
高雄高等行政法院103年決算,17453,高雄高等行政法院103年單位決算,高雄高等行政法院103年單位決算,高雄高等行政法院
公告臺灣花蓮地方法院104年6月會計月報(xml)檔,17455,104年6月會計月報(xml)檔,經費類平衡表等8張表報,臺灣花蓮地方法院
臺中高等行政法院103年度單位決算,17461,臺中高等行政法院103年度單位決算,臺中高等行政法院103年度單位決算,臺中高等行政法院
104年01-06月臺灣臺南地方法院會計報告(XML),17463,104年01-06月臺灣臺南地方法院會計報告(XML),104年01-06月臺灣臺南地方法院會計報告,臺灣臺南地方法院
104年度4月份臺灣士林地方法院會計報告,17464,104年度4月份臺灣士林地方法院會計報告,104年度4月份臺灣士林地方法院會計報告,臺灣士林地方法院
