資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
科技部科學園區從業員工數統計資料集,7599,從業員工數 亦即就業人數，包括園區事業、核准入區工商服務業、事業主管機關分支單位、育成中心、研究機構等之員工數，不包括營造廠或承攬商所僱用之員工數。,,科技部
科技部線上虛擬展場清冊,7600,科技部工程處為協助大專校院落實「科技部工程科技計畫成果」的推廣及技轉，促成產業技術之創新與提升，進而為產業界解決急迫性問題，由工程科技推展中心營運工程科技推展平台，將歷年學界豐碩的研發成果整理典藏，並提供研究成果商業化媒合與企劃支援服務。,展覽序號;年度;展覽名稱;開始日期;結束日期;連結,科技部
科技部大屯火山觀測站_火山氣體監測,7601,大屯火山觀測站挑選其中兩處具有代表性的溫泉進行每周一次的監測。這裡呈現的是溫泉中的溫度、總固容量(TDS)、酸鹼值（pH）、電導度等變化，而這些參數皆可以作為反映火山的活動性的指標之一。,,科技部
科技部大屯火山觀測站_地表溫度監測,7602,"大屯火山觀測站對於地溫監測是探討火山活動的主要研究工作之一（Tillting, 1989），如果火山地區地底下有岩漿庫、殘餘的岩漿或有後火成活動，則通常在地表附近可發現較高的地溫，地底下的地溫梯度也會偏大，並呈現較高的熱流值 (Zeni et al., 2007)，然而測量這些溫度參數並無法探討火山的活動性，要了解地底下火山的活動情形，必須對地表的地溫做長期的監測，從溫度的變化趨勢才能進一步推測地下火山活動的異常變化(Sudo and Hurst, 1998)。監測地溫的變化除了有學術上的研究價值外，若能將監測資料隨時展示在公共場所（如遊客中心），讓遊客可以隨時了解這些訊息，亦是一項富有教育意義的工作。","po|,121.5474,25.17777,800M;",科技部
科技部大屯火山觀測站_地殼變形監測,7603,大屯火山觀測站對於陽明山國家公園內設置一共有七個地殼變形觀測站，並利用中研院的GPS(S101)作為基準站來監測七星山附近之火山活動可能引起之地殼變動。包括於竹子湖(YM01)、菁山(YM02)、萬里(YM03)、八煙(YMN4)、冷水坑(YM05)、馬槽(YM06)與小油坑(YM07)兩站，其中又以冷水坑(YM05)、馬槽(YM06)與小油坑(YM07)搭配10米深井下傾斜儀作為地表傾斜的量測紀錄。,日期;站名：竹子湖 YM01;站名：菁山 YM02;站名：萬里 YM03;站名：冷水坑 YM05;站名：馬槽 YM06;站名：小油坑 YM07;站名：八煙 YMN4,科技部
科技部大屯火山觀測站_地震活動監測,7604,大屯火山觀測站對於大屯山地區的地震活動主要集中在七星山及大油坑地區，每月平均約有50個，深度約在地表下5公里內，規模大多為0～1之間，屬於無感地震。此地區一年內有數次在單日中，地震發生個數異常增加的情形，這種情況通常代表本區可能有群震(Swarm)活動。,,科技部
科技部補助延攬科技人才統計資料集,7607,科技部補助延攬客座科技人才、博士後研究人員、研究學者之核定件數（含註銷案件）,,科技部
科技部補助兩岸科技交流統計資料集,7608,科技部補助兩岸科技學術研討會及邀請大陸地區暨香港澳門科技人士來臺短期訪問之核定件數（含註銷案件）,,科技部
行政院傑出科技貢獻獎統計資料集,7609,科技部辦理行政院傑出科技貢獻獎獲獎人數統計資料,,科技部
科技部專題研究計畫相關辦法資料集清單,7610,條列科技部專題研究計畫之作業要點、經費處理相關規定清冊。,標題;連結網址,科技部
