資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
國防部法律服務與輔導訴訟相關資訊,9442,提供國軍法律服務與輔導訴訟規定、辦理成效及聯絡表,法規名稱：國軍法律服務作業要點;http://www.mnd.gov.tw/NewUpload/202006/國軍法律服務與輔導訴訟聯絡表_255887.pdf;http://www.mnd.gov.tw/NewUpload/202006/國軍法律服務輔導訴訟訴訟代理統計表(105-10905)_263830.pdf;法規名稱：國軍輔導訴訟作業要點,國防部
國防部後備指揮部各縣市服務臺聯絡資料表,9450,後備指揮部所屬縣市指揮部、服務中心單位名稱、地址、服務臺電話及傳真號碼,中文單位名稱;英文單位名稱;中文地址;英文地址;服務臺電話;傳真號碼,國防部
中正幹部預備學校沿革史校風校訓,9527,中正幹部預備學校沿革史校風校訓,,國防部
志工活動一覽表,9767,中正預校在校學生參加志工活動資料一覽表,,國防部
102年社團參與校外活動資料,9768,中正預校社團參與校外活動資料,,國防部
陸軍砲兵季刊,9769,以弘揚砲兵學術、精進部隊作戰、教育訓練、統一戰術思想、介紹世界各國科技新知為主，藉以培養砲兵部隊官兵學術研究風氣，精進本職學能素養，期能以學術領導，提升砲兵戰力,期數;卷號;發行日期;標題;作者,國防部
103年裝甲兵季刊,9770,以弘揚裝甲兵學術、精進部隊作戰、教育訓練、統一戰術思想、介紹世界各國科技新知為主，藉以培養裝甲兵部隊官兵學術研究風氣，精進本職學能素養，期能以學術領導，提升裝甲兵戰力,期數;卷號;發行日期;標題;作者,國防部
政治作戰局推動新文藝運動補、捐（獎）助其他政府機關或團體私人經費情形,10064,提供政戰局推動新文藝運動補、捐（獎）助其他政府機關或團體私人經費情形,,國防部
國軍文藝金像獎得獎人員名冊,10066,提供國軍文藝金像獎得獎人員名冊,類別;獎項;單位;主題;作者姓名;身分,國防部
國防部各乙級單位新聞業務聯繫電話表,10067,提供國防部各乙級單位新聞業務聯繫電話表,,國防部
國防部104年度單位預算,12513,國防部104年度單位預算(法定),歲入來源別表;歲出機關別表及各附屬表,國防部
