資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
107年度國史館單位預算案,54837,107年度國史館單位預算案,,國史館
國史館臺灣文獻館107年度單位預算案,54849,國史館臺灣文獻館107年度單位預算案資料,,國史館臺灣文獻館
國史館臺灣文獻館105年度單位決算,54898,國史館臺灣文獻館105年度單位決算資料,,國史館臺灣文獻館
105年度中央研究院科學研究基金法定預算,55661,105年度中央研究院科學研究基金法定預算,名稱;網址,中央研究院
國史館106年9月會計月報,56633,國史館106年9月會計月報資料,,國史館
國史館106年9月特別預算會計月報,56682,國史館106年9月特別預算會計月報資料,,國史館
國史館臺灣文獻館106年度9月份會計月報,57693,國史館臺灣文獻館106年度9月份會計月報資料,,國史館臺灣文獻館
國史館106年10月會計月報,61281,國史館106年10月會計月報資料,,國史館
國史館106年10月特別預算會計月報,61284,國史館106年10月特別預算會計月報資料,,國史館
國史館臺灣文獻館106年度10月份會計月報,62747,國史館臺灣文獻館106年度10月份會計月報資料,,國史館臺灣文獻館
國史館106年11月會計月報,72065,國史館106年11月會計月報資料,,國史館
國史館106年11月特別預算會計月報,72073,國史館106年11月特別預算會計月報資料,,國史館
國史館臺灣文獻館106年度11月份會計月報,73187,國史館臺灣文獻館106年度11月份會計月報資料,,國史館臺灣文獻館
106年度中央研究院科學研究基金法定預算,74925,106年度中央研究院科學研究基金法定預算,名稱;網址,中央研究院
國史館106年12月特別預算會計月報,74979,國史館106年12月特別預算會計月報資料,,國史館
國史館臺灣文獻館106年度12月份會計月報,75466,國史館臺灣文獻館106年度12月份會計月報資料,,國史館臺灣文獻館
國史館106年12月會計月報,75470,國史館106年12月會計月報資料,,國史館
國史館107年1月會計月報,76347,國史館107年1月會計月報資料,,國史館
國史館107年1月特別預算會計月報,76349,國史館107年1月特別預算會計月報資料,,國史館
國史館臺灣文獻館107年度1月份會計月報,76982,國史館臺灣文獻館107年度1月份會計月報資料,,國史館臺灣文獻館
國史館臺灣文獻館106年度單位決算,76983,國史館臺灣文獻館106年度單位決算資料,,國史館臺灣文獻館
106年度國史館單位決算,77122,106年度國史館單位決算,,國史館
總統府107年度單位預算(XML),77364,總統府107年度單位預算(XML),,總統府
107年度中央研究院法定預算,77650,107年度中央研究院法定預算,Year;Type;Link,中央研究院
107年度國史館單位預算,77764,107年度國史館單位預算,,國史館
總統府106年度單位決算,77942,總統府106年度單位決算,,總統府
國史館107年2月會計月報,77966,國史館107年2月會計月報資料,,國史館
國史館107年2月特別預算會計月報,77968,國史館107年2月特別預算會計月報資料,,國史館
