資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
大專校院外籍專任教師統計－按校別、性別與職級別分,6290,全臺灣大專校院外籍專任教師統計－按校別、性別與職級別分,學校代號;學校名稱;教授男;教授女;副教授男;副教授女;助理教授男;助理教授女;講師男;講師女;其他男;其他女;縣市名稱,教育部統計處
大專校院外籍專任教師統計－按校別、國別、性別與職級別分,6291,全臺灣大專校院外籍專任教師統計－按校別、國別、性別與職級別分,學校代號;學校名稱;國別代碼;國別名稱;教授男;教授女;副教授男;副教授女;助理教授男;助理教授女;講師男;講師女;其他男;其他女,教育部統計處
奧林匹亞競賽歷年參賽成績,6311,本資料集主要提供奧林匹亞競賽歷年參賽成績等資訊。,年度;類別;主辦國;參加國;屆別;成績;排名,教育部國民及學前教育署
高級中等學校實用技能學程核班情形,6312,本資料集主要提供各學年度高級中等學校實用技能學程核班情形等資訊。,校名;招生科別;上課時段;核定班數;招收學生數;招收人數;班數;招生人數;,教育部國民及學前教育署
建教合作班核班情形,6313,本資料集主要提供各學年度建教合作班核班情形等資訊。,校名;科別;辦理模式;申辦科班;核定招生人數;學校;核定班數;核定人數;申辦科別,教育部國民及學前教育署
十二年國民基本教育-國中活化教學列車影片,6314,本資料集主要提供愛學網之子資料集-活化教學等資訊。,名稱;說明;網址,教育部國民及學前教育署
國民中小學教科書審定通過表,6315,本資料集主要是國民中小學教科書採一綱多本為主，由民間出版業者依據國民中小學九年一貫課程綱要編纂，並交由國家教育研究院審定，通過後發行執照，作為學校選用書之依據。,依據;圖書名稱;冊次;版本別（依筆畫排序）,教育部國民及學前教育署
國家教育研究院專案研究報告,6316,本資料集主要提供本院對外公開之專案研究報告等資訊。,序號;計畫名稱;研究團隊;期程;網址,國家教育研究院
國際教育訊息電子報,6317,本資料集主要提供電子報內容係由教育部駐外單位定期提供19國28個地區當地最新教育訊息，復經本院加以統整與歸類彙編而成，包含各級、各類教育，以引領讀者擴展更寬廣的國際教育視野，以及掌握即時性世界教育趨勢及各國教育脈動等資訊。,期數;名稱;出刊時間;網址,國家教育研究院
愛學網電視館,6318,本資料集主要教育部國中小學習網－「愛學網」係由教育部指導，本院依據國中小學生之需求，整合國內外優質數位學習資源，規劃設立之網站。主要內容分為五大主題區－電視館、學習萬花筒、益智遊樂場、視訊講堂及活動廣場，本院亦定期舉辦網站活動與實體活動，擴大民眾之參與度及網站使用效益，其中電視館有適合親師使用的影音資料與教學資源等資訊，廣受各界好評。,URL;meta_影片名稱*;meta_領域別+;meta_適用對象;meta_媒體種類;meta_片長;meta_內容簡介*;meta_關鍵詞*+;分段點;meta_製作年份;meta_製作者*+;影片檔案路徑*;meta_語文*+;meta_授權範圍*;meta_授權有效日;meta_資料來源,國家教育研究院
教育學學術名詞,6319,本資料集主要提供教育學英中對照名詞等資訊。,英文名稱;中文名稱,國家教育研究院
中央機關一般職稱雙語詞彙,6320,本資料集主要提供中央機關一般職稱之中英對照詞彙等資訊。,一般職稱類別;一般職稱類別細目;一般職稱中文;職等;一般職稱英譯,國家教育研究院
國立教育廣播電臺公告事項,6321,本資料集主要提供本臺各項公告民眾週知的訊息摘要等資訊。,images;pubDate;title;link;description,國立教育廣播電臺
國立教育廣播電臺大事紀要,6322,本資料集主要提供本臺大事紀要資訊。,radio;date;topic;content;picture,國立教育廣播電臺
國立教育廣播電臺文教新聞,6323,本資料集主要提供各種文教新聞訊息摘要等資訊。,pubDate;tag;title;link;description,國立教育廣播電臺
國立教育廣播電臺節目快訊,6324,本資料集主要提供本臺各種節目快訊等資訊。,pubDate;title;link;description,國立教育廣播電臺
