國土空間發展策略計畫：國土空間結構全國階層,['28468']
國土空間發展策略計畫：國土空間結構區域階層,['28470']
國家人權-機關檔案目錄,['33489']
國家新創品牌Startup Island TAIWAN,['127165']
國家檔案保存維護中心介紹,['31177']
國家檔案典藏數量成果,['31176']
國家檔案典藏數量成果統計,['31013']
國家檔案典藏新訊,['31175']
國家檔案地標地理分布,['33642']
國家檔案徵集成果統計,['127157']
國家檔案徵集計畫,['30945']
國家檔案應用服務指引,['56233']
國家檔案應用申請人申請目的統計,['127159']
國家檔案數量與內容大要,['31173']
國家檔案案名清單,['95315']
國家檔案目錄公布數量地理分布,['33643']
國家檔案移轉作業指引,['56217']
國家檔案選粹-地理資訊,['9596']
國家檔案選粹地理分布,['24580']
國家發展計畫編擬要點,['31672']
國家發展計畫重大政策KPI,['80993']
國家發展計畫重大政策跨機關KPI,['80994']
國營事業年度工作考成總報告,['22923']
國營事業淨利及繳庫盈餘,['95322']
國營事業經營績效(依組織性質),['95324']
國營事業經營績效(依行業別),['95323']
國發基金創業天使計畫已通過申請案,['10362']
國發會兩公約定期報告,['31531']
國發會及地方政府歷年外語替代役役男分配情形統計表,['80984']
國發會性別平等推動計畫,['113768']
國發會綜規處年度自行研究獲獎作品及內容摘要,['57157']
國際人力議題相關研究報告,['55814']
國際經濟動態指標,['11054']
國際貿易-機關檔案目錄,['33483']
圖書室中文圖書館藏目錄,['28528']
圖書室外文圖書館藏目錄,['28527']
圖書自動化系統書目資料,['31293']
土地資源-機關檔案目錄,['33476']
地方創生專家輔導團名單,['113778']
地方創生資料庫-地方財政支出之預決算,['113777']
地方創生資料庫-就學兒童數,['113775']
地方創生資料庫-農產作物產量,['113776']
地方創生資料庫-農產及作物結構,['113774']
地方政府營造國際生活環境推動作業手冊,['43364']
地方機關-機關檔案目錄,['33488']
基本設施補助計畫執行情形,['7315']
外交政策-機關檔案目錄,['33481']
外賓拜會統計,['31671']
大事紀,['22925']
委員會決議,['22924']
完善我國留才環境方案,['43374']
完善生養環境方案,['31524']
客家文化-機關檔案目錄,['38399']
家庭設備普及率,['6522']
工業總會白皮書議題處理情形,['31770']
已開放資料集清冊,['113783']
年度個案計畫概況,['43380']
年度國家發展計畫,['22116']
年度國家發展計畫執行檢討,['22117']
年度國家發展計畫執行檢討新聞稿,['34022']
年度國家發展計畫執行檢討簡報,['34021']
年度國家發展計畫新聞稿,['46098']
年度國家發展計畫簡報,['46082']
年度機關績效評估燈號整體分布-共同性目標,['70713']
年度機關績效評估燈號整體分布-業務成果,['70709']
年度機關績效評估燈號整體分布-組織學習,['70712']
年度機關績效評估燈號整體分布-行政效率,['70710']
年度機關績效評估燈號整體分布-財務管理,['70711']
廉政倫理事件統計表,['46096']
廉政會報,['27938']
強化優秀僑外生留臺工作行動計畫,['31529']
強化創新創業國際鏈結補助作業要點問答集,['39487']
強化國際創新創業鏈結-協助台灣新創拓展國際市場,['57482']
強化國際創新創業鏈結-邀請國際創業家訪臺交流,['57476']
性別平等專案小組委員名單,['27983']
性別平等成果報告,['127160']
性別統計項目一覽表,['31769']
我國參與APEC經濟委員會(EC)會議紀實,['57168']
我國薪資成長與所得分配分析及對策,['31525']
戰役-機關檔案目錄,['38401']
戰役人名索引,['56244']
所得分配懶人包,['34011']
招標資訊,['22929']
振興傳統產業優惠貸款要點及貸放情形,['28271']
採購案件開標過程易誤涉洩密情事注意事項,['58129']
採集你我的記憶-民間珍貴文書徵集摺頁,['56220']
推動創新創業帶動臺灣產業典範移轉-完善新創法規,['34007']
推動創新創業帶動臺灣產業典範移轉-引進智慧資金,['34006']
推動創新創業帶動臺灣產業發展,['31473']
推動創業家簽證之規劃,['27757']
推動性別主流化執行計畫,['31673']
推動性別主流化成果報告,['31674']
推動性別平等業務實地考核,['57173']
推廣檔案研究應用奬勵實施活動簡章,['81043']
提升地方治理策勵營會議及成果資料,['70715']
改善所得分配具體方案,['31526']
改善所得分配因應對策,['22106']
政府1、2級機關(含地方政府)全球資訊網網址,['12603']
政府入口網-安全專題,['22928']
政府入口網-政府新聞,['22112']
政府入口網-生活情報,['22107']
政府入口網-福利補助,['22113']
政府入口網-行動化服務,['22110']
政府列管計畫清單,['10445']
政府捐助之財團法人行政監督總報告,['46092']
政府捐助成立之財團法人基本資料,['70706']
政府捐助成立之財團法人年度目標待改進項目及策進作為,['95329']
政府捐助成立之財團法人年度目標達成情形及綜合評估結果,['95328']
政府捐助成立之財團法人財務管理年度目標達成結果統計及缺失情形,['95326']
政府服務品質獎得獎機關名單,['27870']
政府服務品質獎評獎實施計畫及作業手冊,['27869']
政府服務品質獎評獎紀實,['27868']
政府服務獎入圍機關名單,['95297']
政府服務獎得獎機關名單,['95299']
政府服務獎服務績效彙編,['95300']
政府服務獎標竿案例,['127164']
政府服務獎評獎實施計畫,['46086']
政府服務躍升方案,['46085']
政府機關唯1識別代碼(OID),['7081']
政府機關電腦應用概況,['26845']
政府資料開放平臺「各機關資料集統計」清單,['15946']
政府資料開放平臺「我想要更多」民眾建議開放資料清單,['15943']
政府資料開放平臺「我有話要說」民眾建議開放資料清單,['15944']
政府資料開放平臺「最新消息」刊登清單,['15947']
政府資料開放平臺「活化應用」資料清單,['15945']
政府資料開放平臺「資料集上下架」報表,['18883']
政府資料開放平臺「資料集查詢欄位」報表,['18880']
政府資料開放平臺「資料集查詢關鍵字」報表,['18879']
政府資料開放平臺已下架資料集清單,['57817']
政府資料開放平臺資料集標章數統計,['108129']
政府資料開放平臺資料集清單,['6564']
政府資料開放平臺資料集瀏覽及下載統計,['8693']
政府資料開放諮詢小組委員名單,['33021']
政府重大公共建設計畫全生命週期績效管理手冊(法規篇),['70705']
政治檔案內容分析,['81051']
政治檔案全文影像清單,['81050']
政治檔案典藏長度統計,['103295']
政治檔案分類編碼架構,['95314']
政治檔案徵集成果,['95311']
政策宣導相關廣告預算,['31532']
教育-機關檔案目錄,['56278']
教育及體育-國家檔案案名清單,['56277']
整合住宅補貼資源實施方案補貼申請,['6509']
數位政府績效統計表,['22114']
數位機會調查,['5960']
文化及傳媒-國家檔案案名清單,['81053']
文書及檔案管理專業分級培訓課程總表,['95308']
新創法規調適之運作說明,['80989']
新創法規調適平臺公告案例,['80990']
新經濟移民法相關資料,['103290']
新聞稿,['22927']
日本商會白皮書議題處理情形,['31771']
景氣循環的類型,['34003']
景氣指標及燈號,['6099']
智慧城市示範應用徵案-智慧交通,['57487']
智慧城市示範應用徵案-智慧健康醫療照護,['57489']
智慧城市示範應用徵案-物聯網應用平台,['57490']
智慧城市示範應用徵案-自駕車,['95301']
智慧城鄉應用服務計畫-獲推薦案件之各縣市分布概況,['127166']
智慧城鄉示範應用徵案-人工智慧,['103288']
替代役役男溫馨關懷學童寒期課後照顧實施計畫-外語替代役寒假關懷學童英語成長計畫,['46088']
最新景氣概況新聞稿,['27543']
最新臺灣採購經理人指數新聞稿,['27541']
會計月報,['19710']
未來勞動力參與率推估,['113773']
未來就業推估,['22084']
未來重點產業人才供需調查及推估,['22086']
業務報告(口頭報告),['31668']
業務報告(書面報告),['31669']
機器設備輸出貸款要點及貸放情形,['28277']
機構典藏館藏目錄,['28526']
機關來文檢調國家檔案情形統計,['103297']
機關共通性檔案保存年限基準(GRS)運用指引,['30922']
機關名錄雙語詞彙,['32084']
機關廉政宣導,['46094']
機關施政績效評估報告,['7082']
機關服務信箱,['11969']
機關檔案保存年限區分表編製指引,['95310']
機關檔案目錄公布數量地理分布,['21747']
機關檔案目錄匯入數量成果統計,['31014']
機關檔案管理調查結果,['31535']
機關檔案管理金檔獎暨金質獎評獎紀實,['43612']
機關檔案編目作業指引,['30949']
機關檔案鑑定作業指引摺頁,['81046']
機關計畫性檔案清理作業指引,['56219']
檔案入庫保管作業介紹,['43611']
檔案半年刊,['31180']
檔案影像數位化掃描作業簡介,['56223']
檔案支援教學網主題檔案瀏覽統計,['31294']
檔案時光盒瀏覽統計,['31295']
檔案樂活情報,['56230']
檔案法令彙編,['31015']
檔案法令解釋統計資訊,['56287']
檔案移轉配合事項,['81045']
檔案管理實務秘笈,['43621']
檔案管理局-國家檔案徵集計畫,['10522']
檔案管理局中文簡介,['30921']
檔案管理局中程個案計畫,['95309']
檔案管理局低於公告金額與高於公告金額十分之1之間採購資訊,['56286']
檔案管理局內部控制聲明書,['81044']
檔案管理局公告金額以上採購資訊,['56284']
檔案管理局半年結算,['103301']
檔案管理局各官等職員年資統計報表,['56282']
檔案管理局大事紀,['21667']
檔案管理局年報,['21687']
