司法統計年報-地方法院辦結公證事件類別1按分,['44515']
司法統計年報-地方法院通訊監察案件終結情形-按分,['44597']
司法統計年報-地方法院道路交通案件收結情形,['44553']
司法統計年報-地方法院重大刑事案件裁判結果,['44548']
司法統計年報-地方法院離婚終結事件1按分,['44492']
司法統計年報-地方法院離婚終結事件離婚原因,['44494']
司法統計年報-懲戒法庭第審懲戒案件受懲戒終結情形,['44403']
司法統計年報-懲戒法院再審案件終結情形,['44404']
司法統計年報-智慧財產法院刑事上訴第3審發回或發交更審案件裁判結果,['44456']
司法統計年報-智慧財產法院刑事案件收結件數,['44452']
司法統計年報-智慧財產法院受理刑事上訴案件收結情形,['44453']
司法統計年報-智慧財產法院受理刑事上訴案件裁判結果,['44455']
司法統計年報-智慧財產法院受理刑事抗告案件收結情形,['44454']
司法統計年報-智慧財產法院受理刑事第2審案件裁判結果,['44457']
司法統計年報-智慧財產法院民事上訴第3審發回或發交更審事件終結情形,['44451']
司法統計年報-智慧財產法院民事第2審事件終結情形,['44450']
司法統計年報-智慧財產法院行政訴訟事件收結件數,['44460']
司法統計年報-智慧財產法院辦理附帶民事訴訟案件收結情形(附帶民事訴訟上訴及更審部分),['44459']
司法統計年報-智慧財產法院辦理附帶民事訴訟案件收結情形(附帶民事訴訟部分),['44458']
司法統計年報-最高法院刑事上訴案件被告科刑人數,['44385']
司法統計年報-最高法院刑事上訴發回或發交更審案件次數及原因-按分,['44387']
司法統計年報-最高法院刑事案件收結情形,['44378']
司法統計年報-最高法院民事上訴事件終結情形,['44375']
司法統計年報-最高法院民事上訴發回或發交更審事件次數及原因-按分,['44377']
司法統計年報-最高法院民事事件收結情形,['44372']
司法統計年報-最高法院辦理重大刑事案件被告裁判結果,['44389']
司法統計年報-最高行政法院行政訴訟事件收結情形,['44392']
司法統計年報-最高行政法院行政訴訟再審事件終結情形,['44395']
司法統計年報-最高行政法院行政訴訟第審事件終結情形,['44394']
司法統計年報-民間公證人辦理公證事件終結情形-按分,['44517']
司法統計年報-高等法院及分院刑事再審案件收結情形,['44429']
司法統計年報-高等法院及分院刑事案件收結件數,['44416']
司法統計年報-高等法院及分院刑事第2審終結案件科刑人數,['44418']
司法統計年報-高等法院及分院刑事聲請再審案件收結情形,['44428']
司法統計年報-高等法院及分院受理公職人員選舉罷免訴訟上訴事件收結情形,['44413']
司法統計年報-高等法院及分院受理刑事上訴案件終結情形,['44419']
司法統計年報-高等法院及分院受理刑事第2審案件裁判結果,['44417']
司法統計年報-高等法院及分院受理民事上訴事件終結情形,['44409']
司法統計年報-高等法院及分院受理民事上訴國家賠償事件收結情形,['44412']
司法統計年報-高等法院及分院員工實有人數-按分,['44406']
司法統計年報-高等法院及分院民事事件收結件數,['44408']
司法統計年報-高等法院及分院民事再審事件收結情形,['44414']
司法統計年報-高等法院及分院民事第2審更審事件終結情形,['44410']
司法統計年報-高等法院及分院民事第2審終結事件訴訟種類,['44411']
司法統計年報-高等法院及分院辦理公設辯護案件收結情形,['44430']
司法統計年報-高等法院及分院辦理刑事案件收結情形,['44415']
司法統計年報-高等法院及分院辦理刑事補償事件收結情形,['44431']
司法統計年報-高等法院及分院辦理少年事件收結情形,['44427']
司法統計年報-高等法院及分院辦理民事事件收結情形,['44407']
司法統計年報-高等法院及分院辦理第2審重大刑事案件裁判結果,"['44422', '44423']"
司法統計年報-高等法院及分院辦理道路交通案件收結情形,['44426']
司法統計年報-高等法院及分院辦理重大刑事案件收結情形,['44421']
司法統計年報-高等法院及分院辦理附帶民事訴訟案件收結情形(附帶民事訴訟部分),['44424']
司法統計年報-高等行政法院行政訴訟事件辦理概況,['44440']
司法統計年報及所屬各機關各項案件收結概況,['44365']
司法統計年報地方法院刑事第1審協商程序案件裁判結果,['44549']
司法統計年報地方法院刑事第1審案件裁判結果,"['44533', '44535']"
司法統計年報地方法院員工實有人數,['44467']
司法統計年報地方法院少年刑事案件裁判結果,"['44568', '44569']"
司法統計年報地方法院少年及兒童事件收結件數,['44567']
司法統計年報地方法院少年調查保護官執行保護管束事件收結情形,['44589']
司法統計年報地方法院少年調查保護官執行保護管束事件終結情形及人數,['44590']
司法統計年報地方法院核發通信調取案件情形,"['44601', '44602']"
司法統計年報地方法院核發通訊監察案件情形,"['44594', '44599', '44600']"
司法統計年報地方法院民事保護令聲請事件終結情形,['44489']
司法統計年報地方法院民事強制執行事件終結情形,['44523']
司法統計年報地方法院民事強制執行終結事件案由,['44521']
司法統計年報地方法院民事第1審事件終結情形及訴訟標的金額,"['44473', '44475']"
司法統計年報地方法院民事第1審小額訴訟程序事件終結情形及訴訟標的金額,['44484']
司法統計年報地方法院民事第1審簡易訴訟程序事件終結情形及訴訟標的金額,['44481']
司法統計年報地方法院民事第1審終結事件訴訟種類,['44476']
司法統計年報地方法院辦理公證事件收結情形,['44514']
司法統計年報地方法院辦理刑事補償事件收結情形,['44559']
司法統計年報地方法院辦理家事非訟事件收結情形,['44502']
司法統計年報地方法院辦理檢察官聲請羈押案件收結情形,['44563']
司法統計年報地方法院辦理民事(不含家事)非訟事件收結情形,['44501']
司法統計年報地方法院辦理民事事件收結件數,['44471']
司法統計年報地方法院辦理民事事件收結情形,['44469']
司法統計年報地方法院辦理社會秩序維護法移送裁定案件終結情形,['44544']
司法統計年報地方法院辦理通訊監察及通信調取案件收結情形,['44592']
司法統計年報地方法院辦理附帶民事訴訟案件收結情形,['44557']
司法統計年報地方法院辦結公證事件類別,['44516']
司法統計年報地方法院通訊監察案件核發通知書及暫不通知情形,['44596']
司法統計年報地方法院通訊監察案件終結情形,['44598']
司法統計年報地方法院通訊監察終結案件通訊監察期間,['44595']
司法統計年報地方法院重大刑事案件裁判結果,['44547']
司法統計年報地方法院離婚終結事件,"['44491', '44493']"
司法統計年報懲戒法院員工實有人數,['44400']
司法統計年報懲戒法院審理案件收結情形,['44401']
司法統計年報懲戒法院懲戒法庭第1審懲戒案件受懲戒人服務機關及官等別,['44402']
司法統計年報智慧財產法院刑事第2審涉外案件終結情形,['44465']
司法統計年報智慧財產法院員工實有人數,['44444']
司法統計年報智慧財產法院民事第1審涉外事件終結情形,['44463']
司法統計年報智慧財產法院民事第2審涉外事件終結情形,['44464']
司法統計年報智慧財產法院行政訴訟第1審事件終結情形,"['44461', '44462']"
司法統計年報智慧財產法院行政訴訟第1審涉外事件終結情形,['44466']
司法統計年報最高法院刑事上訴案件終結情形,"['44380', '44381']"
司法統計年報最高法院刑事上訴案件被告裁判結果,"['44383', '44384']"
司法統計年報最高法院刑事上訴發回或發交更審案件次數及原因,['44386']
司法統計年報最高法院刑事案件終結件數,['44379']
司法統計年報最高法院刑事非常上訴案件終結情形,['44382']
司法統計年報最高法院員工實有人數,['44371']
司法統計年報最高法院民事上訴事件終結情形,['44374']
司法統計年報最高法院民事上訴發回或發交更審事件次數及原因,['44376']
司法統計年報最高法院民事事件終結件數,['44373']
司法統計年報最高法院辦理重大刑事案件收結情形,['44390']
司法統計年報最高法院辦理重大刑事案件被告裁判結果,['44388']
司法統計年報最高行政法院員工實有人數,['44391']
司法統計年報最高行政法院行政訴訟上訴事件終結情形,"['44397', '44398']"
司法統計年報最高行政法院行政訴訟上訴終結事件性質分類,['44399']
司法統計年報最高行政法院行政訴訟第1審終結事件性質分類,['44396']
司法統計年報民間公證人辦理公證事件終結情形,['44518']
司法統計年報法官學院員工實有人數,['44605']
司法統計年報法官學院開班班次及人次統計表,['44606']
司法統計年報高等法院及分院刑事第2審更審案件終結情形,['44420']
司法統計年報高等法院及分院員工實有人數,['44405']
司法統計年報高等法院及分院核發通信調取案件情形,['44438']
司法統計年報高等法院及分院核發通訊監察案件情形,['44437']
司法統計年報高等法院及分院辦理附帶民事訴訟案件收結情形(附帶民事訴訟上訴及更審部分),['44425']
司法統計年報高等法院及分院通訊監察案件終結情形,['44433']
司法統計年報高等行政法院員工實有人數,['44439']
司法統計年報高等行政法院行政訴訟第1審事件終結情形,"['44441', '44442']"
司法統計年報高等行政法院行政訴訟第1審終結事件性質分類,['44443']
司法統計指標,"['44310', '44313']"
司法統計指標-刑事訴訟上訴第2審科刑人數,['44335']
司法統計指標-刑事訴訟上訴第2審終結件數,['44343']
司法統計指標-刑事訴訟上訴第2審被告人數,['44332']
司法統計指標-刑事訴訟上訴第3審科刑人數,['44336']
司法統計指標-刑事訴訟上訴第3審終結件數,['44344']
司法統計指標-刑事訴訟上訴第3審被告人數,['44333']
司法統計指標-刑事訴訟第1審科刑人數,['44334']
司法統計指標-刑事訴訟第1審被告人數,['44331']
司法統計指標-受理各項案件收結件數,['44306']
司法統計指標-地方法院刑事案件收結件數,['44321']
司法統計指標-地方法院刑事第1審智慧財產權案件裁判結果,['44359']
司法統計指標-地方法院受理重大刑案科刑人數,['44340']
司法統計指標-地方法院受理重大刑案被告人數,['44337']
司法統計指標-地方法院各類案件新收件數-依場所別(年報),['44363']
司法統計指標-地方法院少年刑事案件少年身家狀況,"['44346', '44347', '44348']"
司法統計指標-地方法院少年刑事案件裁判結果,['44345']
司法統計指標-地方法院少年暨兒童保護事件審理終結情形,['44349']
司法統計指標-地方法院少年暨兒童保護事件觸犯法令行為者身家狀況,['44350']
司法統計指標-地方法院核發民事保護令內容,['44353']
司法統計指標-地方法院核發民事保護令內容---按分,['44354']
司法統計指標-地方法院民事事件收結件數,['44320']
司法統計指標-地方法院民事保護令聲請事件收結情形,['44351']
司法統計指標-地方法院民事保護令聲請事件收結情形---按分,['44352']
司法統計指標-地方法院聲請民事保護令當事人身家狀況,"['44355', '44356']"
司法統計指標-地方法院違反家庭暴力防治法案件,"['44357', '44358']"
司法統計指標-大法官解釋案件收結情形,['44307']
司法統計指標-懲戒法院審理案件收結件數,['44314']
司法統計指標-懲戒法院懲戒法庭第1審懲戒案件終結情形,['44315']
司法統計指標-智慧財產法院刑事第2審案件裁判結果,['44362']
