資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
國家發明創作獎得獎名單,8490,本資料集為國家發明創作奬歷次得獎名單，供對該專利技術有興趣民眾查詢，並得依據名單掲漏之資訊逕洽發明創作人或專利權人，國家發明創作奬每兩年舉辦1次，得獎名單於每次評選年度結束後始能提供。,年度;獎項別;得獎專利名稱;得獎人,經濟部智慧財產局
礦業從業人員薪資統計表,8698,99年至104年從事礦業員工薪資統計資料,年度;石油、天然氣礦業從業職員平均月支(新臺幣元);砂、石及黏土採取業職員平均月支(新臺幣元);其他礦業及土石採取業職員平均月支(新臺幣元);石油、天然氣礦業從業工員平均月支(新臺幣元);砂、石及黏土採取業工員平均月支(新臺幣元);其他礦業及土石採取業工員平均月支(新臺幣元),經濟部礦務局
爆炸物管理員訓練統計表,8699,爆炸物管理員訓練統計資料(103及104年未開班),年度;參訓人數;及格人數,經濟部礦務局
全國砂土石產銷存動態統計表,8700,本資料集按月提供全國各縣市砂石碎解洗選場自產砂、碎石、級配或其他使用形式之各類砂石製品之均價、生產量、銷售量、成品庫存等動態統計資料，提供社會大眾參考並作為產官學界研析之基礎資訊。(註：價錢單位為元、數量單位為公噸、均價單位為元/公噸),縣市;砂均價;砂生產量;砂銷售量;砂成品庫存;碎石均價;碎石生產量;碎石銷售量;碎石成品庫存;級配均價;級配生產量;級配銷售量;級配成品庫存;粉光砂均價;粉光砂生產量;粉光砂銷售量;粉光砂成品庫存;卵石或大石均價;卵石或大石生產量;卵石或大石銷售量;卵石或大石成品庫存;鐵路道渣均價;鐵路道渣生產量;鐵路道渣銷售量;鐵路道渣成品庫存;二分下腳料均價;二分下腳料生產量;二分下腳料銷售量;二分下腳料成品庫存;填方料均價;填方料生產量;填方料銷售量;填方料成品庫存;其他均價;其他生產量;其他銷售量;其他成品庫存;未加工原料庫存,經濟部礦務局
經濟部工業局所轄工業區已租售土地建廠使用情形,8796,工業區已租售土地建廠使用之情形資料：工業區已開發總面積、已租售設廠面積等相關資料。,編號;開發狀態;分區;工業區名稱;縣市別;已開發總面積(公頃);可租售設廠面積(已公告租售面積)(公頃);已租售設廠面積(公頃);廠商家數;員工數,經濟部工業局
工業局人才培訓計畫課程資訊,8797,經濟部工業局即日起開放「人才培訓計畫課程資訊」資料集，歡迎各界多加利用 產業人才發展攸關產業發展及其長期競爭力，經濟部工業局為支持產業發展重點政策，依據重點產業專業人才供需調查、職能基準與能力鑑定，推動產業創新所須之中高階人才課程，滿足產業人才發展需求。 本局培訓課程辦理範疇涵蓋：智慧電子、機械、資訊應用、食品、紡織、智慧內容、智慧手持、醫療器材、藥品製造、能源技術、印刷等重點產業。培訓課程包含下列類型： 1.以協助就業及策略性補充產業人才缺口為目標，培訓待業者及企業新招募人員，經中長期養成培訓後，由本局協助就業媒合。 2.以提升產業人才專業職能為培訓目標，配合產業發展趨勢及企業需求，辦理智慧機械、創新研發及跨領域等中高階人才課程，對象涵蓋任職於企業、政府捐助(贈)財團法人、學校教職員、非政府捐助(贈)財團法人、社團法人(含公協會)、行政法人之本國人，或政府機關(含軍人)、本國學生、個人工作者，及經專案簽准之外國人。 前述培訓課程資訊皆可於「工業技術人才培訓全球資訊網」(https://idbtrain.stpi.narl.org.tw/classinfo.htm)查詢，歡迎各界多加利用。,計畫名稱;﻿課程名稱;﻿開課單位;﻿開課日期;﻿結束日期;﻿上課時數;﻿學員負擔費用;﻿政府負擔費用;﻿講師;﻿預定人數;﻿聯絡人;﻿聯絡電話;﻿上課地點;﻿招生對象;﻿培訓班簡介;﻿網址,經濟部工業局
經濟部所屬事業近3年營運概況,8803,經濟部所屬事業包括台電、中油、台糖、台水等公司，最近3年盈虧狀況資料。,公司;年度;總收入決算數(億元);總收入預算數(億元);總收入達成率(%);總支出決算數(億元);總支出預算數(億元);總支出達成率(%);稅前盈餘決算數(億元);稅前盈餘預算數(億元);稅前盈餘達成率(%),經濟部國營事業委員會
煤油經銷商名單,8831,煤油經銷商名單收集的目的是為消費者知道那裡可購買煤油產品也透過經銷商拓展煤油業務;本事業部煤油經銷商是透過公開甄選，並經行銷部門審核後才能販售本事業部煤油產品。,經銷商名稱;通訊地址;連絡人;電話;手機號碼;傳真,台灣中油股份有限公司
溶劑油經銷商名單,8832,溶劑油經銷商名單收集的目的是為消費者知道那裡可購買溶劑油產品也透過經銷商拓展煤油業務;本事業部溶劑油經銷商是透過公開甄選，並經行銷部門審核後才能販售本事業部溶劑油產品。,經銷商名稱;通訊地址;連絡人;電話;手機號碼;傳真,台灣中油股份有限公司
補助工商團體參加國際展覽,8845,提供工商團體參加國際展覽相關補助、時間及地點資訊,公會名稱;計畫名稱;年月;地區;補助金額NT$仟元,經濟部國際貿易局
補助業界開發國際市場計畫受補助廠商資料,8846,提供受本計畫補助之廠商公司名稱、受補助計畫及受補助金額,編號;企業名稱;計畫名稱;核定補助金額NT$,經濟部國際貿易局
政府輔導商圈名錄,8847,政府輔導商圈名錄,,經濟部商業司
經濟部能源局_各縣市汽車加油站汽柴油銷售統計資料表,8849,各縣市當月加油站汽柴油銷售量的統計表,,經濟部能源局
經濟部能源局_各縣市汽車加油站汽柴油銷售統計分析表,8850,各縣市當月加油站汽柴油銷售量的分析表,,經濟部能源局
各國貿易救濟案件訊息,8851,摘譯或摘要各國貿易救濟調查案件之訊息,案件標題;案件內容,經濟部貿易調查委員會
工業廢棄物供需資訊,8855,提供各類廢棄物供需數量及頻率等資訊予事業機構產生者及需求者參考及選擇，以推動事業廢棄物交換再利用之機制。,供需方;地區;廢棄物編碼;廢棄物名稱;數量;單位;產生頻率(供)/再利用方式(需);欲資源化方式(供)/再利用產品(需),經濟部工業局
「國際技術合作計畫」研習統計,8856,「臺日、 臺德、臺法、臺奧、臺俄及臺加技術合作計畫」出國研習人員暨日本專家來臺人數統計,年份;類別;農業與天然資源;工業與礦業;交通與公共工程;勞工;衛生與環保;教育與職業訓練;公共安全與公共行政;社區發展與社會福利;經濟發展;財政金融與保險;資訊與高科技;國際貿易;中小企業;商業行政;智慧財產;標準檢驗;水利;能源;統計及法規;其他;總計,經濟部國際合作處
商品型式認可品目資料,8875,提供經濟部標準檢驗局商品型式認可品目資料,ccccode;chiname;engname;chinote,經濟部標準檢驗局
逐批檢驗品目資料,8876,提供經濟部標準檢驗局逐批檢驗品目資料,ccccode;chiname;engname;localname;prodkindname;公告規定;examimp;檢驗期限;sampid;計量單位;列檢日期;取樣數量,經濟部標準檢驗局
台電系統(含外購電力)各機組發電量即時資訊,8931,提供台電自有及外購電力之各機組(含水、火力、再生能源、核能等)發電量即時資訊,,台灣電力股份有限公司
歷年台灣自來水公司管線長度,8932,歷年台灣自來水公司管線長度及年增率等,項目別;管線長度;年增率,台灣自來水股份有限公司
歷年台灣自來水公司用戶數,8933,台灣自來水公司供水對象，可分為一般用水、工業用水、船舶用水、機關及其他用水等,項目別;合計;一般用水;工業用水;船舶用水;機關及其他用水,台灣自來水股份有限公司
水火力發電廠位置及機組設備,8934,提供本公司各水火力發電廠地址、 連絡電話、機組商轉日期 、裝置容量、燃料種類,電廠名稱;地址;連絡電話;傳真電話;機組名稱;商轉日期;裝置容量(瓩);燃料種類,台灣電力股份有限公司
流域地質圖－地層,8937,為最新全台流域地質圖地層資料數值檔，可直接套繪Google Earth軟體。,本服務係以地圖影像服務發布，坐標投影為WGS84,經濟部中央地質調查所
流域地質圖－斷層,8939,為最新全台流域地質圖斷層資料數值檔，可直接套繪Google Earth軟體。,本服務係以地圖影像服務發布，坐標投影為WGS84,經濟部中央地質調查所
流域地質圖－褶皺,8941,為最新全台流域地質圖褶皺資料數值檔，可直接套繪Google Earth軟體。,本服務係以地圖影像服務發布，坐標投影為WGS84,經濟部中央地質調查所
台糖學苑據點,8946,台糖公司各學苑套房出租資訊,學苑名稱;地址;營業時間;電話號碼;GPS定位座標北緯(度);GPS定位座標東經(度),台灣糖業股份有限公司
自來水供水普及率,8989,半年報，3月15日、9月15日前上載；按機構別(台灣自來水公司(一至十二區管理處)、臺北自來水事業處、金門、連江自來水廠)，提供人數計算之自來水供水普及率,ActualPopulationServed;ExecutingUnit;PercentageOfPopulationServed;PopulationInServedArea;Remarks;Year,經濟部水利署
輔導青年創業成果,9001,歷年青年創業輔導成果統計表,年度;月份;獲貸案數(家);僱用員工數(人);融資金額(千元);保證金額(千元);創造就業機會(個),經濟部中小企業處
輔導青年創業成果-獲貸人性別,9002,91年度起截至目前為止青年創業貸款獲貸人數性別統計表,年度;男性獲貸人數(人);男性百分比;女性獲貸人數(人);女性百分比;合計;服務業獲貸人數（人）男性;服務業獲貸人數（人）女性;工業獲貸人數（人）男性;工業獲貸人數（人）女性;農業獲貸人數（人）男性;農業獲貸人數（人）女性;男性獲貸金額（千元）;女性獲貸金額（千元）,經濟部中小企業處
水源保育與回饋費徵收與執行成果,9017,歷年水源保育與回饋費徵收金額以及經費分配運用狀況,AccountsOperationalGroupAdministrativeFee;AccountsOperationalGroupAffiliatedOrganization;ConservationAreaName;ConservationAreaSort;ExpenditureBalanceCurrentYear;ExpenditureBalancePastYear;LevyRevenueCurrentYear;WaterBusinessCommission;WaterConservationFeedbackExecutiveBudget;WaterFeeReductionSubsidy;WaterResourcesOperationFundAdministrativeFee;Year,經濟部水利署
公司登記現有家數及實收資本額－按行業別分,9345,公司登記現有家數及實收資本額－按行業別分,行業別;總計家數;總計資本額;一百萬元以下家數;一百萬元以下資本額;一百萬元以上未滿五百萬元家數;一百萬元以上未滿五百萬元資本額;五百萬元以上未滿一千萬元家數;五百萬元以上未滿一千萬元資本額;一千萬元以上未滿二千萬元家數;一千萬元以上未滿二千萬元資本額;二千萬元以上未滿三千萬元家數;二千萬元以上未滿三千萬元資本額;三千萬元以上未滿四千萬元家數;三千萬元以上未滿四千萬元資本額;四千萬元以上未滿五千萬元家數;四千萬元以上未滿五千萬元資本額;五千萬元以上未滿一億元家數;五千萬元以上未滿一億元資本額;一億元以上未滿五億元家數;一億元以上未滿五億元資本額;五億元以上家數;五億元以上資本額,經濟部商業司
公司登記現有家數及實收資本額－按組織別及縣市別分,9346,公司登記現有家數及實收資本額－按組織別及縣市別分,縣 市 別;總計家數;總計資本額;無限公司家數;無限公司資本額;兩合公司家數;兩合公司資本額;有限公司家數;有限公司資本額;股份有限公司家數;股份有限公司資本額;外國公司在臺認許公司家數;外國公司在臺認許公司在臺營運資金;大陸地區在臺許可公司家數;大陸地區在臺許可公司在臺營運資金;外國公司代表人辦事處家數;大陸地區在臺許可辦事處家數,經濟部商業司
公司登記家數及實收資本額異動─按行業別分,9347,公司登記家數及實收資本額異動─按行業別分,行業別;上月底家數;上月底資本額;新設立家數;新設立資本額;解散撤銷及廢止家數;解散撤銷及廢止資本額;增資家數;增資資本額;減資家數;減資資本額;行業變動家 數;行業變動資本額;異動調整家數;異動調整資本額;本月底家數;本月底資本額,經濟部商業司
公司登記家數及實收資本額異動─按縣市別分,9348,公司登記家數及實收資本額異動─按縣市別分,縣市別;上月底家數;上月底資本額;新設立家數;新設立資本額;解散撤銷及廢止家數;解散撤銷及廢止資本額;增資家數;增資資本額;減資家數;減資資本額;行業變動家數;行業變動資本額;異動調整家數;異動調整資本額;本月底家數;本月底資本額,經濟部商業司
