資料集名稱,資料集識別碼,資料集描述,主要欄位說明,提供機關
部落大學,7130,原住民族部落大學為促進原住民族文化傳承與創新，培育部落社區發展人才及現代化公民，建構原住民族部落社區終身學習環境。開放資料為部落大學地點、族別及目標。進行原鄉深度旅遊可以關心與了解的交流地點,Seq;DateListed;Memo;TribalUniversity;YearNumber99;YearNumber100;Organizers;Organizers2;Ethnic;TypeofCourse;NameofCourse;PlaceCourse;CharacteristicCourse;Access;Address;Telephone;FaxNumber;eMail;KeywordSearch;Audience;RelatedActivities;OpeningHours;Website;Facebook,原住民族委員會
原住民族工藝薪傳獎,7131,首屆、第二屆、第三屆原住民族工藝薪傳獎獲獎人及作品名稱。,Seq;DateListed;Name;Ethnic;Category;Awards;Year,原住民族委員會
原住民族工藝師標章,7132,第一屆至第四屆申請得到認證標章之工藝師名單。,Seq;DateListed;Candidate;Name;Genre;Region;Memo;Extension;Session,原住民族委員會
原住民族工藝精品,7133,第一屆至第四屆申請得到認證之工藝精品名單。,Seq;DateListed;Name;Genre;Creator;Tradition_Modern;Region;Memo;Extension;Session,原住民族委員會
原住民藝術工作者駐村計畫錄取名單,7134,第一屆至第五屆原住民藝術工作者駐村計畫錄取名單。,Seq;DateListed;Name;Gender;Ethnic;Genre;Item;Session;Year;OutcomeOfTheReview;Annotate,原住民族委員會
部落學校,7135,部落學校的核心思想：「部落為現場，找回教育權。重新塑造原住民，復振語言和文化。」，表列已設置之部落學校名單資料。進行原鄉深度旅遊可以關心與了解的交流地點,Seq;DateListed;Name;Region;Address;Facebook;PropagandaShortFilm;url,原住民族委員會
臺灣原住民族圖書資訊中心電子報目錄,7136,臺灣原住民族圖書資訊中心建置的臺灣原住民資訊資源網資訊，包含歷年來發布的電子報清單，可作為原民文化研究者之參考依據。,Seq;DateListed;Name;Date;NewsletterLink;Content;ContentLink;license;DataSource,原住民族委員會
原住民族地區教會,7137,原住民族地區教會所在地點資訊，可作為遊客規劃深度旅遊之參考據點。,Seq;DateListed;AssociationName;LocalChurchName;Region;PostalCode;Address;Telephone;Memo,原住民族委員會
原住民就業者的從業身分－人口特性,7138,衛福處統計資料，依年齡層、教育程度、行政區、職業別，分別統計從業身分別數據。,Seq;DateListed;Identity_Population;Category;Census;DuringStatistics;SeeAlso,原住民族委員會
原住民就業者的每月主要工作收入-按職業分,7139,衛福處統計資料，依職業別、行業別，分別統計每月主要平均收入。,Seq;DateListed;Income_Population;Category;Census;SeeAlso,原住民族委員會
原住民未參與勞動原因－按人口特性分,7140,衛福處統計資料，依年齡層、教育程度、收入狀況、行政區，分別統計未參與勞動的理由。,Seq;DateListed;Reasons;Category;Census;DuringStatistics;SeeAlso,原住民族委員會
原住民個人每月收入-按人口特性分,7141,衛福處統計資料，依年齡層、教育程度、勞動狀況，分別統計每人的收入狀況。,Seq;DateListed;MonthlyIncome;Category;Census;DuringStatistics;SeeAlso,原住民族委員會
99-100年度台灣原住民族產品拓銷據點計畫-寄銷業者入選名單,7142,參與「經建處原住民拓銷據點」計畫之寄銷業者名單，可作為觀光遊客購買伴手禮之參考資訊。,Seq;DateListed;Creator;County,原住民族委員會
